UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,103,16,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
New York,89,0,,,0,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
California,83,1,,1,1,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Massachusetts,13,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Florida,10,2,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Colorado,8,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Oregon,7,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Texas,6,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Georgia,5,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Illinois,5,0,,,2,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Arizona,5,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
New Jersey,4,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Pennsylvania,4,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Maryland,3,0,0,0,0,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Rhode Island,3,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
New Hampshire,2,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Nevada,2,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
North Carolina,2,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
South Carolina,2,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Virginia,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Utah,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Kansas,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Missouri,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Minnesota,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Oklahoma,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Indiana,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Tennessee,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Kentucky,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Wisconsin,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Nebraska,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Hawaii,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
District of Columbia,1,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Wuhan,3,0,,,,,Sat Mar  7 18:07:08 PST 2020,1583633228
Grand Princess,21,0,,,,Source,Sat Mar  7 18:07:08 PST 2020,1583633228
Diamond Princess,45,0,,,2,,Sat Mar  7 18:07:08 PST 2020,1583633228
U.S. TOTAL,438,19,0,0,5,,Sat Mar  7 18:07:08 PST 2020,1583633228
