UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,79,13,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
California,60,1,,1,1,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
New York,33,0,0,0,0,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Massachusetts,8,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Texas,6,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Illinois,5,0,,,2,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Florida,4,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Maryland,3,0,0,0,0,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Oregon,3,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Georgia,3,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
New Hampshire,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Rhode Island,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
New Jersey,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Colorado,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Nevada,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
North Carolina,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Indiana,1,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Tennessee,1,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Wisconsin,1,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Arizona,3,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Pennsylvania,2,0,,,,Source,Fri Mar  6 13:29:35 PST 2020,1583530175
Wuhan,3,0,,,,,Fri Mar  6 13:29:35 PST 2020,1583530175
Diamond Princess,45,0,,,2,,Fri Mar  6 13:29:35 PST 2020,1583530175
U.S. TOTAL,272,14,0,0,5,,Fri Mar  6 13:29:35 PST 2020,1583530175
