UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,103,16,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
New York,76,0,,,0,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
California,64,1,,1,1,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Massachusetts,13,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Colorado,8,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Florida,8,2,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Oregon,7,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Texas,6,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Illinois,5,0,,,2,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Arizona,5,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
New Jersey,4,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Maryland,3,0,0,0,0,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Georgia,3,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Rhode Island,3,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
New Hampshire,2,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Pennsylvania,2,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Nevada,2,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
North Carolina,2,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
South Carolina,2,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Utah,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Minnesota,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Oklahoma,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Indiana,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Tennessee,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Kentucky,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Wisconsin,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Nebraska,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Hawaii,1,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Wuhan,3,0,,,,,Sat Mar  7 12:47:48 PST 2020,1583614068
Grand Princess,21,0,,,,Source,Sat Mar  7 12:47:48 PST 2020,1583614068
Diamond Princess,45,0,,,2,,Sat Mar  7 12:47:48 PST 2020,1583614068
U.S. TOTAL,396,19,0,0,5,,Sat Mar  7 12:47:48 PST 2020,1583614068
