UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,105,16,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
New York,89,0,,,0,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
California,83,1,,1,1,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Massachusetts,13,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Florida,11,2,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Colorado,8,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Oregon,7,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Texas,6,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Georgia,5,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Illinois,5,0,,,2,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Arizona,5,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
New Jersey,4,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Pennsylvania,4,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Maryland,3,0,0,0,0,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Rhode Island,3,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
New Hampshire,2,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Nevada,2,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
North Carolina,2,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
South Carolina,2,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Vermont,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Virginia,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Utah,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Kansas,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Missouri,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Minnesota,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Oklahoma,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Indiana,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Tennessee,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Kentucky,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Wisconsin,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Nebraska,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Hawaii,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
District of Columbia,1,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Wuhan,3,0,,,,,Sat Mar  7 20:16:29 PST 2020,1583640989
Grand Princess,21,0,,,,Source,Sat Mar  7 20:16:29 PST 2020,1583640989
Diamond Princess,45,0,,,2,,Sat Mar  7 20:16:29 PST 2020,1583640989
U.S. TOTAL,442,19,0,0,5,,Sat Mar  7 20:16:29 PST 2020,1583640989
