UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,103,16,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
New York,89,0,,,0,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
California,83,1,,1,1,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Massachusetts,13,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Florida,11,2,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Colorado,8,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Oregon,7,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Texas,6,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Georgia,5,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Illinois,5,0,,,2,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Arizona,5,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
New Jersey,4,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Pennsylvania,4,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Maryland,3,0,0,0,0,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Rhode Island,3,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
New Hampshire,2,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Nevada,2,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
North Carolina,2,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
South Carolina,2,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Virginia,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Utah,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Kansas,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Missouri,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Minnesota,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Oklahoma,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Indiana,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Tennessee,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Kentucky,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Wisconsin,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Nebraska,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Hawaii,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
District of Columbia,1,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Wuhan,3,0,,,,,Sat Mar  7 19:05:35 PST 2020,1583636735
Grand Princess,21,0,,,,Source,Sat Mar  7 19:05:35 PST 2020,1583636735
Diamond Princess,45,0,,,2,,Sat Mar  7 19:05:35 PST 2020,1583636735
U.S. TOTAL,439,19,0,0,5,,Sat Mar  7 19:05:35 PST 2020,1583636735
