UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,79,13,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
California,64,1,,1,1,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
New York,44,0,0,0,0,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Massachusetts,8,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Colorado,8,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Texas,6,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Illinois,5,0,,,2,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Florida,4,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
New Jersey,4,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Maryland,3,0,0,0,0,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Oregon,3,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Georgia,3,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Arizona,3,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Rhode Island,3,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
New Hampshire,2,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Pennsylvania,2,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Nevada,2,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
North Carolina,2,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Oklahoma,1,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Indiana,1,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Tennessee,1,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Kentucky,1,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Wisconsin,1,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Nebraska,1,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Wuhan,3,0,,,,,Fri Mar  6 17:27:59 PST 2020,1583544479
Grand Princess,21,0,,,,Source,Fri Mar  6 17:27:59 PST 2020,1583544479
Diamond Princess,45,0,,,2,,Fri Mar  6 17:27:59 PST 2020,1583544479
U.S. TOTAL,320,14,0,0,5,,Fri Mar  6 17:27:59 PST 2020,1583544479
