UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,79,13,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
California,64,1,,1,1,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
New York,44,0,0,0,0,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Massachusetts,8,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Colorado,8,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Texas,6,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Illinois,5,0,,,2,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Florida,4,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
New Jersey,4,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Maryland,3,0,0,0,0,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Oregon,3,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Georgia,3,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Arizona,3,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Rhode Island,3,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
New Hampshire,2,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Pennsylvania,2,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Nevada,2,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
North Carolina,2,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Oklahoma,1,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Indiana,1,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Tennessee,1,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Kentucky,1,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Wisconsin,1,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Nebraska,1,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Wuhan,3,0,,,,,Fri Mar  6 16:37:00 PST 2020,1583541420
Grand Princess,21,0,,,,Source,Fri Mar  6 16:37:00 PST 2020,1583541420
Diamond Princess,45,0,,,2,,Fri Mar  6 16:37:00 PST 2020,1583541420
U.S. TOTAL,320,14,0,0,5,,Fri Mar  6 16:37:00 PST 2020,1583541420
