UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,103,16,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
California,75,1,,1,1,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
New York,76,0,,,0,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Massachusetts,13,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Colorado,8,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Florida,8,2,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Oregon,7,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Texas,6,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Georgia,5,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Illinois,5,0,,,2,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Arizona,5,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
New Jersey,4,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Maryland,3,0,0,0,0,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Rhode Island,3,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
New Hampshire,2,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Pennsylvania,2,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Nevada,2,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
North Carolina,2,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
South Carolina,2,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Utah,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Minnesota,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Oklahoma,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Indiana,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Tennessee,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Kentucky,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Wisconsin,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Nebraska,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Hawaii,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
District of Columbia,1,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Wuhan,3,0,,,,,Sat Mar  7 14:55:35 PST 2020,1583621735
Grand Princess,21,0,,,,Source,Sat Mar  7 14:55:35 PST 2020,1583621735
Diamond Princess,45,0,,,2,,Sat Mar  7 14:55:35 PST 2020,1583621735
U.S. TOTAL,410,19,0,0,5,,Sat Mar  7 14:55:35 PST 2020,1583621735
