UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,79,13,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
California,60,1,,1,1,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
New York,33,0,0,0,0,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Massachusetts,8,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Texas,6,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Illinois,5,0,,,2,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Florida,4,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Maryland,3,0,0,0,0,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Oregon,3,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Georgia,3,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
New Hampshire,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Rhode Island,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
New Jersey,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Colorado,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Nevada,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
North Carolina,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Indiana,1,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Tennessee,1,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Wisconsin,1,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Arizona,3,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Pennsylvania,2,0,,,,Source,Fri Mar  6 14:13:53 PST 2020,1583532833
Wuhan,3,0,,,,,Fri Mar  6 14:13:53 PST 2020,1583532833
Diamond Princess,45,0,,,2,,Fri Mar  6 14:13:53 PST 2020,1583532833
U.S. TOTAL,272,14,0,0,5,,Fri Mar  6 14:13:53 PST 2020,1583532833
