UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,103,16,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
New York,89,0,,,0,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
California,83,1,,1,1,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Massachusetts,13,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Florida,11,2,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Colorado,8,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Oregon,7,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Texas,6,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Georgia,5,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Illinois,5,0,,,2,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Arizona,5,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
New Jersey,4,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Pennsylvania,4,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Maryland,3,0,0,0,0,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Rhode Island,3,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
New Hampshire,2,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Nevada,2,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
North Carolina,2,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
South Carolina,2,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Virginia,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Utah,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Kansas,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Missouri,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Minnesota,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Oklahoma,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Indiana,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Tennessee,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Kentucky,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Wisconsin,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Nebraska,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Hawaii,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
District of Columbia,1,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Wuhan,3,0,,,,,Sat Mar  7 18:53:11 PST 2020,1583635991
Grand Princess,21,0,,,,Source,Sat Mar  7 18:53:11 PST 2020,1583635991
Diamond Princess,45,0,,,2,,Sat Mar  7 18:53:11 PST 2020,1583635991
U.S. TOTAL,439,19,0,0,5,,Sat Mar  7 18:53:11 PST 2020,1583635991
