UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Counties,date2,unixtime
Washington,72,13,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
California,56,1,,1,1,,Fri Mar  6 11:12:27 PST 2020,1583521947
New York,33,0,0,0,0,,Fri Mar  6 11:12:27 PST 2020,1583521947
Massachusetts,8,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Texas,6,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Illinois,5,0,,,2,,Fri Mar  6 11:12:27 PST 2020,1583521947
Florida,4,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Maryland,3,0,0,0,0,,Fri Mar  6 11:12:27 PST 2020,1583521947
Oregon,3,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Georgia,3,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
New Hampshire,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Rhode Island,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
New Jersey,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Colorado,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Nevada,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
North Carolina,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Indiana,1,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Tennessee,1,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Wisconsin,1,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Arizona,1,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Pennsylvania,2,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Wuhan,3,0,,,,,Fri Mar  6 11:12:27 PST 2020,1583521947
Diamond Princess,45,0,,,2,,Fri Mar  6 11:12:27 PST 2020,1583521947
U.S. TOTAL,259,14,0,0,5,,Fri Mar  6 11:12:27 PST 2020,1583521947
