UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Counties,date2,unixtime
Washington,72,13,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
California,53,1,,1,1,,Fri Mar  6 11:10:56 PST 2020,1583521856
New York,33,0,0,0,0,,Fri Mar  6 11:10:56 PST 2020,1583521856
Massachusetts,8,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Texas,6,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Illinois,5,0,,,2,,Fri Mar  6 11:10:56 PST 2020,1583521856
Florida,4,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Maryland,3,0,0,0,0,,Fri Mar  6 11:10:56 PST 2020,1583521856
Oregon,3,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Georgia,3,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
New Hampshire,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Rhode Island,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
New Jersey,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Colorado,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Nevada,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
North Carolina,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Indiana,1,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Tennessee,1,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Wisconsin,1,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Arizona,1,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Pennsylvania,2,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Wuhan,3,0,,,,,Fri Mar  6 11:10:56 PST 2020,1583521856
Diamond Princess,45,0,,,2,,Fri Mar  6 11:10:56 PST 2020,1583521856
U.S. TOTAL,256,14,0,0,5,,Fri Mar  6 11:10:56 PST 2020,1583521856
