UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,79,13,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
California,64,1,,1,1,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
New York,44,0,0,0,0,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Massachusetts,8,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Texas,6,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Illinois,5,0,,,2,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Florida,4,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Maryland,3,0,0,0,0,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Oregon,3,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Georgia,3,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Arizona,3,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
New Hampshire,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Pennsylvania,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Rhode Island,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
New Jersey,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Colorado,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Nevada,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
North Carolina,2,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Indiana,1,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Tennessee,1,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Kentucky,1,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Wisconsin,1,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Wuhan,3,0,,,,,Fri Mar  6 15:13:00 PST 2020,1583536380
Grand Princess,21,0,,,,Source,Fri Mar  6 15:13:00 PST 2020,1583536380
Diamond Princess,45,0,,,2,,Fri Mar  6 15:13:00 PST 2020,1583536380
U.S. TOTAL,309,14,0,0,5,,Fri Mar  6 15:13:00 PST 2020,1583536380
