OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
South Korea,6593,42,27,25,108,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Iran,4747,124,,,913,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Italy,4636,197,462,,523,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Germany,639,0,,2,17,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
France,613,9,23,,12,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Japan,350,6,29,,10,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Spain,296,3,7,,2,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
United States,272,14,2,6,9,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Switzerland,210,1,,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
United Kingdom,164,1,,,12,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Sweden,136,0,,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Singapore,130,0,,9,82,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Netherlands,128,1,1,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Belgium,109,0,1,,1,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Norway,101,0,,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Malaysia,83,0,,,23,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Australia,61,2,,,22,,Fri Mar  6 14:17:24 PST 2020,1583533044
Kuwait,58,0,0,0,0,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Austria,55,0,,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Bahrain,49,0,,,1,,Fri Mar  6 14:17:24 PST 2020,1583533044
Canada,48,0,,1,8,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Thailand,47,1,1,,31,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Taiwan,45,1,0,0,12,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Greece,45,0,1,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Iraq,35,2,,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
Iceland,34,0,,,,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
India,30,0,,,3,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
UAE,27,0,2,,5,Source,Fri Mar  6 14:17:24 PST 2020,1583533044
