china,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Nigeria,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Lithuania,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Monaco,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Ukraine,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Latvia,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Tunisia,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Jordan,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Andorra,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Armenia,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Dominican Republic,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Argentina,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Liechtenstein,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Bhutan,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Gibraltar,1,0,1,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Serbia,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Vatican City,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Cameroon,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,South Africa,1,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,TOTAL,101002,3454,6334,47,55630,Fri Mar  6 10:46:28 PST 2020,1583520388
