OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
South Korea,6593,42,27,25,108,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Iran,4747,124,,,913,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Italy,4636,197,462,,523,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Germany,639,0,,2,17,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
France,613,9,23,,12,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Japan,350,6,29,,10,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Spain,296,3,7,,2,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
United States,272,14,2,6,9,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Switzerland,210,1,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
United Kingdom,164,1,,,12,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Sweden,136,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Singapore,130,0,,9,82,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Netherlands,128,1,1,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Belgium,109,0,1,,1,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Norway,101,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Malaysia,83,0,,,23,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Australia,61,2,,,22,,Fri Mar  6 13:34:25 PST 2020,1583530465
Kuwait,58,0,0,0,0,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Austria,55,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Bahrain,49,0,,,1,,Fri Mar  6 13:34:25 PST 2020,1583530465
Canada,48,0,,1,8,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Thailand,47,1,1,,31,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Taiwan,45,1,0,0,12,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Greece,45,0,1,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Iraq,35,2,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Iceland,34,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
India,30,0,,,3,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
UAE,27,0,2,,5,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Ireland,18,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Algeria,17,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Israel,17,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Vietnam,16,0,,,16,,Fri Mar  6 13:34:25 PST 2020,1583530465
San Marino,16,1,3,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Lebanon,16,0,,1,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Oman,16,0,,,2,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Denmark,15,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Ecuador,13,0,,1,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Brazil,13,0,,,,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Finland,12,0,,,1,Source,Fri Mar  6 13:34:25 PST 2020,1583530465
Macau,10,0,,,6,,Fri Mar  6 13:34:25 PST 2020,1583530465
