OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
South Korea,6593,42,27,25,108,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Iran,4747,124,,,913,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Italy,4636,197,462,,523,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Germany,639,0,,2,17,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
France,613,9,23,,12,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Japan,350,6,29,,10,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Spain,296,3,7,,2,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
United States,259,14,2,6,9,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Sweden,136,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Netherlands,128,1,1,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Singapore,117,0,,7,81,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
United Kingdom,116,1,,,12,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Belgium,109,0,1,,1,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Norway,101,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Switzerland,80,1,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Malaysia,83,0,,,23,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Australia,61,2,,,22,,Fri Mar  6 11:14:07 PST 2020,1583522047
Kuwait,58,0,0,0,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Bahrain,49,0,,,1,,Fri Mar  6 11:14:07 PST 2020,1583522047
Canada,48,0,,1,8,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Austria,47,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Thailand,47,1,1,,31,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Taiwan,45,1,0,0,12,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Iraq,35,2,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Iceland,34,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Greece,31,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
India,30,0,,,3,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
UAE,27,0,2,,5,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Algeria,17,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Israel,17,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Vietnam,16,0,,,16,,Fri Mar  6 11:14:07 PST 2020,1583522047
San Marino,16,1,3,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Lebanon,16,0,,1,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Oman,16,0,,,2,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Denmark,15,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Ecuador,13,0,,1,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Ireland,13,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Finland,12,0,,,1,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Macau,10,0,,,6,,Fri Mar  6 11:14:07 PST 2020,1583522047
Croatia,10,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Brazil,9,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Georgia,9,0,1,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Qatar,8,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Czech Republic,8,0,0,0,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Portugal,8,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Romania,7,0,,,1,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Belarus,6,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Azerbaijan,6,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Slovenia,6,0,,,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Mexico,5,0,,,1,,Fri Mar  6 11:14:07 PST 2020,1583522047
Estonia,5,0,0,0,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Saudi Arabia,5,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Pakistan,5,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Philippines,5,1,1,,2,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Poland,5,0,0,0,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Chile,5,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Senegal,4,0,0,0,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Palestine,4,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Russia,4,0,,,2,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
New Zealand,4,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Indonesia,4,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Egypt,3,0,,,1,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Hungary,2,0,0,0,0,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Morocco,2,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Bosnia,2,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Luxembourg,2,0,,,,Source,Fri Mar  6 11:14:07 PST 2020,1583522047
Nepal,1,0,,,1,,Fri Mar  6 11:14:07 PST 2020,1583522047
Cambodia,1,0,,,1,,Fri Mar  6 11:14:07 PST 2020,1583522047
Sri Lanka,1,0,,,1,,Fri Mar  6 11:14:07 PST 2020,1583522047
Afghanistan,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
North Macedonia,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Nigeria,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Lithuania,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Monaco,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Ukraine,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Latvia,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Tunisia,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
Jordan,1,0,,,,,Fri Mar  6 11:14:07 PST 2020,1583522047
