china,MAINLAND CHINA,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Hubei province(includes Wuhan),67332,2871,6232,,38556,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Guangdong province,1349,7,17,20,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Henan province,1272,22,7,4,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Zhejiang province,1205,1,8,8,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Hunan province,1018,4,18,,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Beijing,413,8,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Shanghai,337,3,9,,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Other regions,7323,65,100+,,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,Undisclosed,21,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
inside,CHINA TOTAL,80270,2981,6416,,49856,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,South Korea,5328,33,34,11,34,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Iran,2336,77,,,291,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Italy,2502,79,140,,160,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Diamond Princess,706,6,36,,10,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Japan,293,6,23,,43,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,France,212,4,8,,12,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Germany,203,0,,2,16,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Spain,151,1,,5,2,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Singapore,110,0,,7,78,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,United States,112,9,2,5,9,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Hong Kong,101,2,2,4,36,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Kuwait,56,0,0,0,0,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Bahrain,49,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Thailand,43,1,1,,30,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Taiwan,41,1,,,12,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,United Kingdom,51,0,,,8,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Switzerland,37,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Australia,33,1,,,21,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Canada,33,0,,,3,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Sweden,30,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Malaysia,36,0,,,22,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Iraq,31,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Norway,33,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,UAE,21,0,2,,5,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Austria,24,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Netherlands,23,0,,1,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Vietnam,16,0,,,16,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Iceland,14,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Lebanon,13,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Israel,12,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Macau,10,0,,,6,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Belgium,13,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Croatia,8,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,San Marino,8,1,1,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Qatar,7,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Finland,7,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Greece,7,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Ecuador,7,0,,1,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Oman,12,0,,,2,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Mexico,5,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Algeria,5,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Pakistan,5,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,India,5,0,,,3,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Denmark,4,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Czech Republic,5,0,0,0,0,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Azerbaijan,3,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Philippines,3,1,,,2,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Russia,3,0,,,2,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Georgia,3,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Romania,4,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Egypt,2,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Indonesia,2,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Portugal,2,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Brazil,2,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Ireland,2,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Nepal,1,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Cambodia,1,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Sri Lanka,1,0,,,1,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Afghanistan,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,North Macedonia,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Estonia,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Nigeria,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Lithuania,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,New Zealand,2,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Belarus,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Monaco,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Luxembourg,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Ukraine,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Morocco,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Latvia,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Senegal,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Saudi Arabia,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Tunisia,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Jordan,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Andorra,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Armenia,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Dominican Republic,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Chile,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Argentina,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,Liechtenstein,1,0,,,,Tue Mar  3 18:21:15 PST 2020,1583288475
outside,TOTAL,12810,222,249,36,830,Tue Mar  3 18:21:15 PST 2020,1583288475
