OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80555,3042,5737,,53726,Fri Mar  6 17:17:28 PST 2020,1583543848
South Korea,6593,42,27,25,108,Fri Mar  6 17:17:28 PST 2020,1583543848
Iran,4747,124,,,913,Fri Mar  6 17:17:28 PST 2020,1583543848
Italy,4636,197,462,,523,Fri Mar  6 17:17:28 PST 2020,1583543848
Diamond Princess,696,6,34,,40,Fri Mar  6 17:17:28 PST 2020,1583543848
Germany,639,0,,2,17,Fri Mar  6 17:17:28 PST 2020,1583543848
France,613,9,23,,12,Fri Mar  6 17:17:28 PST 2020,1583543848
Japan,350,6,29,,10,Fri Mar  6 17:17:28 PST 2020,1583543848
United States,320,14,2,6,9,Fri Mar  6 17:17:28 PST 2020,1583543848
Spain,296,3,7,,2,Fri Mar  6 17:17:28 PST 2020,1583543848
Switzerland,210,1,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
United Kingdom,164,1,,,12,Fri Mar  6 17:17:28 PST 2020,1583543848
Sweden,136,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Singapore,130,0,,9,82,Fri Mar  6 17:17:28 PST 2020,1583543848
Netherlands,128,1,1,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Belgium,109,0,1,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Hong Kong,108,2,2,4,51,Fri Mar  6 17:17:28 PST 2020,1583543848
Norway,101,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Malaysia,83,0,,,23,Fri Mar  6 17:17:28 PST 2020,1583543848
Australia,61,2,,,22,Fri Mar  6 17:17:28 PST 2020,1583543848
Kuwait,58,0,0,0,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Austria,55,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Bahrain,49,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Canada,52,0,,1,8,Fri Mar  6 17:17:28 PST 2020,1583543848
Thailand,47,1,1,,31,Fri Mar  6 17:17:28 PST 2020,1583543848
Taiwan,45,1,0,0,12,Fri Mar  6 17:17:28 PST 2020,1583543848
Greece,45,0,1,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Iraq,35,2,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Iceland,34,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
India,30,0,,,3,Fri Mar  6 17:17:28 PST 2020,1583543848
UAE,43,0,2,,7,Fri Mar  6 17:17:28 PST 2020,1583543848
Czech Republic,19,0,0,0,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Ireland,18,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Algeria,17,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Israel,17,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Vietnam,17,0,,,16,Fri Mar  6 17:17:28 PST 2020,1583543848
San Marino,16,1,3,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Lebanon,16,0,,1,,Fri Mar  6 17:17:28 PST 2020,1583543848
Oman,16,0,,,2,Fri Mar  6 17:17:28 PST 2020,1583543848
Denmark,15,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Ecuador,13,0,,1,,Fri Mar  6 17:17:28 PST 2020,1583543848
Brazil,13,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Finland,12,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Macau,10,0,,,6,Fri Mar  6 17:17:28 PST 2020,1583543848
Croatia,10,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Georgia,9,0,1,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Qatar,8,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Portugal,8,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Argentina,8,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Romania,8,0,,,3,Fri Mar  6 17:17:28 PST 2020,1583543848
Belarus,6,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Azerbaijan,6,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Slovenia,6,0,,,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Mexico,5,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Estonia,5,0,0,0,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Saudi Arabia,5,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Pakistan,5,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Philippines,5,1,1,,2,Fri Mar  6 17:17:28 PST 2020,1583543848
Poland,5,0,0,0,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Chile,5,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Senegal,4,0,0,0,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Palestine,4,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Russia,4,0,,,2,Fri Mar  6 17:17:28 PST 2020,1583543848
New Zealand,4,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Indonesia,4,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Egypt,3,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Hungary,2,0,0,0,0,Fri Mar  6 17:17:28 PST 2020,1583543848
Morocco,2,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Bosnia,2,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Luxembourg,2,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Cameroon,2,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Nepal,1,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Cambodia,1,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Sri Lanka,1,0,,,1,Fri Mar  6 17:17:28 PST 2020,1583543848
Afghanistan,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
North Macedonia,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Nigeria,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Lithuania,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Monaco,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Ukraine,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Latvia,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Tunisia,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Jordan,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Andorra,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Armenia,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Dominican Republic,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Liechtenstein,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Bhutan,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Gibraltar,1,0,1,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Serbia,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Vatican City,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
Colombia,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
South Africa,1,0,,,,Fri Mar  6 17:17:28 PST 2020,1583543848
TOTAL,101526,3456,6335,49,55650,Fri Mar  6 17:17:28 PST 2020,1583543848
