OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80651,3070,5489,,55404,Fri Mar  6 17:55:15 PST 2020,1583546115
South Korea,6767,44,27,25,108,Fri Mar  6 17:55:15 PST 2020,1583546115
Iran,4747,124,,,913,Fri Mar  6 17:55:15 PST 2020,1583546115
Italy,4636,197,462,,523,Fri Mar  6 17:55:15 PST 2020,1583546115
Diamond Princess,696,6,34,,40,Fri Mar  6 17:55:15 PST 2020,1583546115
Germany,670,0,,2,17,Fri Mar  6 17:55:15 PST 2020,1583546115
France,613,9,23,,12,Fri Mar  6 17:55:15 PST 2020,1583546115
Japan,350,6,29,,10,Fri Mar  6 17:55:15 PST 2020,1583546115
United States,321,14,2,6,9,Fri Mar  6 17:55:15 PST 2020,1583546115
Spain,374,5,7,,2,Fri Mar  6 17:55:15 PST 2020,1583546115
Switzerland,210,1,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
United Kingdom,164,1,,,12,Fri Mar  6 17:55:15 PST 2020,1583546115
Sweden,136,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Singapore,130,0,,9,82,Fri Mar  6 17:55:15 PST 2020,1583546115
Netherlands,128,1,1,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Belgium,109,0,1,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Hong Kong,108,2,2,4,51,Fri Mar  6 17:55:15 PST 2020,1583546115
Norway,101,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Malaysia,83,0,,,23,Fri Mar  6 17:55:15 PST 2020,1583546115
Australia,61,2,,,22,Fri Mar  6 17:55:15 PST 2020,1583546115
Kuwait,58,0,0,0,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Austria,55,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Bahrain,49,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Canada,52,0,,1,8,Fri Mar  6 17:55:15 PST 2020,1583546115
Thailand,47,1,1,,31,Fri Mar  6 17:55:15 PST 2020,1583546115
Taiwan,45,1,0,0,12,Fri Mar  6 17:55:15 PST 2020,1583546115
Greece,45,0,1,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Iraq,35,2,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Iceland,34,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
India,30,0,,,3,Fri Mar  6 17:55:15 PST 2020,1583546115
UAE,43,0,2,,7,Fri Mar  6 17:55:15 PST 2020,1583546115
Czech Republic,19,0,0,0,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Ireland,18,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Algeria,17,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Israel,17,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Vietnam,17,0,,,16,Fri Mar  6 17:55:15 PST 2020,1583546115
San Marino,16,1,3,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Lebanon,16,0,,1,,Fri Mar  6 17:55:15 PST 2020,1583546115
Oman,16,0,,,2,Fri Mar  6 17:55:15 PST 2020,1583546115
Denmark,15,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Ecuador,13,0,,1,,Fri Mar  6 17:55:15 PST 2020,1583546115
Brazil,13,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Finland,12,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Macau,10,0,,,6,Fri Mar  6 17:55:15 PST 2020,1583546115
Croatia,10,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Georgia,9,0,1,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Qatar,8,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Portugal,8,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Argentina,8,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Romania,8,0,,,3,Fri Mar  6 17:55:15 PST 2020,1583546115
Belarus,6,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Azerbaijan,6,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Slovenia,6,0,,,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Mexico,6,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Estonia,5,0,0,0,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Saudi Arabia,5,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Pakistan,5,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Philippines,5,1,1,,2,Fri Mar  6 17:55:15 PST 2020,1583546115
Poland,5,0,0,0,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Chile,5,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Senegal,4,0,0,0,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Palestine,4,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Russia,4,0,,,2,Fri Mar  6 17:55:15 PST 2020,1583546115
New Zealand,4,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Indonesia,4,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Egypt,3,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Hungary,2,0,0,0,0,Fri Mar  6 17:55:15 PST 2020,1583546115
Morocco,2,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Bosnia,2,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Luxembourg,2,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Cameroon,2,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Nepal,1,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Cambodia,1,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Sri Lanka,1,0,,,1,Fri Mar  6 17:55:15 PST 2020,1583546115
Afghanistan,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
North Macedonia,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Nigeria,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Lithuania,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Monaco,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Ukraine,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Latvia,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Tunisia,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Jordan,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Andorra,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Armenia,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Dominican Republic,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Liechtenstein,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Bhutan,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Gibraltar,1,0,1,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Serbia,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Vatican City,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
Colombia,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
South Africa,1,0,,,,Fri Mar  6 17:55:15 PST 2020,1583546115
TOTAL,101907,3488,6087,49,57328,Fri Mar  6 17:55:15 PST 2020,1583546115
