OTHER PLACES,Cases,Deaths,Serious,Recovered,date2,unixtime
Armenia,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Dominican Republic,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Argentina,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Liechtenstein,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Bhutan,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Gibraltar,1,0,1,,Fri Mar  6 16:18:21 PST 2020,1583540301
Serbia,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Vatican City,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Colombia,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
South Africa,1,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
TOTAL,101500,3456,6335,55648,Fri Mar  6 16:18:21 PST 2020,1583540301
