OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80695,3097,5264,,57065,Sat Mar  7 17:54:08 PST 2020,1583632448
South Korea,7134,50,,36,118,Sat Mar  7 17:54:08 PST 2020,1583632448
Iran,5823,145,,,1669,Sat Mar  7 17:54:08 PST 2020,1583632448
Italy,5883,233,462,,589,Sat Mar  7 17:54:08 PST 2020,1583632448
Germany,800,0,,2,17,Sat Mar  7 17:54:08 PST 2020,1583632448
Diamond Princess,696,7,33,,40,Sat Mar  7 17:54:08 PST 2020,1583632448
France,949,16,21,,12,Sat Mar  7 17:54:08 PST 2020,1583632448
Spain,500,10,11,,30,Sat Mar  7 17:54:08 PST 2020,1583632448
Japan,461,6,29,,10,Sat Mar  7 17:54:08 PST 2020,1583632448
United States,438,19,2,6,9,Sat Mar  7 17:54:08 PST 2020,1583632448
Switzerland,264,1,,,3,Sat Mar  7 17:54:08 PST 2020,1583632448
United Kingdom,209,2,,,12,Sat Mar  7 17:54:08 PST 2020,1583632448
Sweden,161,0,,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Singapore,138,0,,8,90,Sat Mar  7 17:54:08 PST 2020,1583632448
Netherlands,188,1,1,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Norway,156,0,,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Belgium,169,0,1,,1,Sat Mar  7 17:54:08 PST 2020,1583632448
Hong Kong,108,2,2,4,51,Sat Mar  7 17:54:08 PST 2020,1583632448
Malaysia,93,0,,,23,Sat Mar  7 17:54:08 PST 2020,1583632448
Austria,79,0,,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Australia,75,2,,,22,Sat Mar  7 17:54:08 PST 2020,1583632448
Greece,66,0,1,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Bahrain,62,0,,,6,Sat Mar  7 17:54:08 PST 2020,1583632448
Kuwait,61,0,0,0,0,Sat Mar  7 17:54:08 PST 2020,1583632448
Canada,60,0,,1,8,Sat Mar  7 17:54:08 PST 2020,1583632448
Iceland,50,0,,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Egypt,48,0,,,1,Sat Mar  7 17:54:08 PST 2020,1583632448
Thailand,47,1,1,,31,Sat Mar  7 17:54:08 PST 2020,1583632448
Iraq,46,3,,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Taiwan,45,1,0,0,12,Sat Mar  7 17:54:08 PST 2020,1583632448
UAE,45,0,2,,7,Sat Mar  7 17:54:08 PST 2020,1583632448
India,34,0,,,3,Sat Mar  7 17:54:08 PST 2020,1583632448
Portugal,21,0,,,,Sat Mar  7 17:54:08 PST 2020,1583632448
Vietnam,20,0,,,16,Sat Mar  7 17:54:08 PST 2020,1583632448
Czech Republic,19,0,0,0,0,Sat Mar  7 17:54:08 PST 2020,1583632448
