OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
South Korea,6593,42,27,25,108,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Iran,4747,124,,,913,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Italy,4636,197,462,,523,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Germany,639,0,,2,17,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
France,613,9,23,,12,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Japan,350,6,29,,10,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Spain,296,3,7,,2,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
United States,270,14,2,6,9,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Switzerland,210,1,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
United Kingdom,164,1,,,12,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Sweden,136,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Netherlands,128,1,1,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Singapore,117,0,,7,81,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Belgium,109,0,1,,1,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Norway,101,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Malaysia,83,0,,,23,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Australia,61,2,,,22,,Fri Mar  6 12:58:16 PST 2020,1583528296
Kuwait,58,0,0,0,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Austria,55,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Bahrain,49,0,,,1,,Fri Mar  6 12:58:16 PST 2020,1583528296
Canada,48,0,,1,8,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Thailand,47,1,1,,31,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Taiwan,45,1,0,0,12,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Greece,45,0,1,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Iraq,35,2,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Iceland,34,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
India,30,0,,,3,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
UAE,27,0,2,,5,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Ireland,18,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Algeria,17,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Israel,17,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Vietnam,16,0,,,16,,Fri Mar  6 12:58:16 PST 2020,1583528296
San Marino,16,1,3,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Lebanon,16,0,,1,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Oman,16,0,,,2,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Denmark,15,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Ecuador,13,0,,1,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Brazil,13,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Finland,12,0,,,1,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Macau,10,0,,,6,,Fri Mar  6 12:58:16 PST 2020,1583528296
Croatia,10,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Georgia,9,0,1,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Qatar,8,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Portugal,8,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Romania,8,0,,,3,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Belarus,6,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Azerbaijan,6,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Slovenia,6,0,,,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Mexico,5,0,,,1,,Fri Mar  6 12:58:16 PST 2020,1583528296
Estonia,5,0,0,0,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Saudi Arabia,5,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Pakistan,5,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Philippines,5,1,1,,2,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Poland,5,0,0,0,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Chile,5,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Senegal,4,0,0,0,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Palestine,4,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Russia,4,0,,,2,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
New Zealand,4,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Indonesia,4,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Egypt,3,0,,,1,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Hungary,2,0,0,0,0,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Morocco,2,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Bosnia,2,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Luxembourg,2,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Nepal,1,0,,,1,,Fri Mar  6 12:58:16 PST 2020,1583528296
Cambodia,1,0,,,1,,Fri Mar  6 12:58:16 PST 2020,1583528296
Sri Lanka,1,0,,,1,,Fri Mar  6 12:58:16 PST 2020,1583528296
Afghanistan,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
North Macedonia,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Nigeria,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Lithuania,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Monaco,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Ukraine,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Latvia,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Tunisia,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Jordan,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Andorra,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Armenia,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Dominican Republic,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Argentina,1,0,,,,,Fri Mar  6 12:58:16 PST 2020,1583528296
Liechtenstein,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Bhutan,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Gibraltar,1,0,1,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Serbia,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Vatican City,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Cameroon,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
Colombia,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
South Africa,1,0,,,,Source,Fri Mar  6 12:58:16 PST 2020,1583528296
TOTAL,101434,3456,6335,47,55647,,Fri Mar  6 12:58:16 PST 2020,1583528296
