OTHER PLACES,Cases,Deaths,Serious,Recovered,,date2,unixtime
Monaco,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Ukraine,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Latvia,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Tunisia,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Jordan,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Andorra,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Armenia,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Dominican Republic,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Argentina,1,0,,,,Fri Mar  6 16:19:12 PST 2020,1583540352
Liechtenstein,1,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Bhutan,1,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Gibraltar,1,0,1,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Serbia,1,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Vatican City,1,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Colombia,1,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
South Africa,1,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
TOTAL,101500,3456,6335,55648,,Fri Mar  6 16:19:12 PST 2020,1583540352
