OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80651,3070,5489,,55404,Sat Mar  7 14:00:59 PST 2020,1583618459
South Korea,7041,48,,36,118,Sat Mar  7 14:00:59 PST 2020,1583618459
Iran,5823,145,,,1669,Sat Mar  7 14:00:59 PST 2020,1583618459
Italy,5883,233,462,,589,Sat Mar  7 14:00:59 PST 2020,1583618459
Germany,800,0,,2,17,Sat Mar  7 14:00:59 PST 2020,1583618459
Diamond Princess,696,7,33,,40,Sat Mar  7 14:00:59 PST 2020,1583618459
France,949,16,21,,12,Sat Mar  7 14:00:59 PST 2020,1583618459
Spain,500,10,11,,30,Sat Mar  7 14:00:59 PST 2020,1583618459
Japan,461,6,29,,10,Sat Mar  7 14:00:59 PST 2020,1583618459
United States,409,19,2,6,9,Sat Mar  7 14:00:59 PST 2020,1583618459
Switzerland,264,1,,,3,Sat Mar  7 14:00:59 PST 2020,1583618459
United Kingdom,209,2,,,12,Sat Mar  7 14:00:59 PST 2020,1583618459
Sweden,161,0,,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Singapore,138,0,,8,90,Sat Mar  7 14:00:59 PST 2020,1583618459
Netherlands,188,1,1,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Norway,156,0,,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Belgium,169,0,1,,1,Sat Mar  7 14:00:59 PST 2020,1583618459
Hong Kong,108,2,2,4,51,Sat Mar  7 14:00:59 PST 2020,1583618459
Malaysia,83,0,,,23,Sat Mar  7 14:00:59 PST 2020,1583618459
Austria,79,0,,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Greece,66,0,1,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Australia,62,2,,,22,Sat Mar  7 14:00:59 PST 2020,1583618459
Bahrain,62,0,,,6,Sat Mar  7 14:00:59 PST 2020,1583618459
Kuwait,61,0,0,0,0,Sat Mar  7 14:00:59 PST 2020,1583618459
Canada,60,0,,1,8,Sat Mar  7 14:00:59 PST 2020,1583618459
Iceland,50,0,,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Egypt,48,0,,,1,Sat Mar  7 14:00:59 PST 2020,1583618459
Thailand,47,1,1,,31,Sat Mar  7 14:00:59 PST 2020,1583618459
Iraq,46,3,,,,Sat Mar  7 14:00:59 PST 2020,1583618459
Taiwan,45,1,0,0,12,Sat Mar  7 14:00:59 PST 2020,1583618459
