OTHER PLACES,Cases,Deaths,Serious,Recovered,date2,unixtime
Mainland China,80555,3042,5737,53726,Fri Mar  6 16:18:15 PST 2020,1583540295
South Korea,6593,42,27,108,Fri Mar  6 16:18:15 PST 2020,1583540295
Iran,4747,124,,913,Fri Mar  6 16:18:15 PST 2020,1583540295
Italy,4636,197,462,523,Fri Mar  6 16:18:15 PST 2020,1583540295
Diamond Princess,696,6,34,40,Fri Mar  6 16:18:15 PST 2020,1583540295
Germany,639,0,,17,Fri Mar  6 16:18:15 PST 2020,1583540295
France,613,9,23,12,Fri Mar  6 16:18:15 PST 2020,1583540295
Japan,350,6,29,10,Fri Mar  6 16:18:15 PST 2020,1583540295
United States,316,14,2,9,Fri Mar  6 16:18:15 PST 2020,1583540295
Spain,296,3,7,2,Fri Mar  6 16:18:15 PST 2020,1583540295
Switzerland,210,1,,,Fri Mar  6 16:18:15 PST 2020,1583540295
United Kingdom,164,1,,12,Fri Mar  6 16:18:15 PST 2020,1583540295
Sweden,136,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Singapore,130,0,,82,Fri Mar  6 16:18:15 PST 2020,1583540295
Netherlands,128,1,1,,Fri Mar  6 16:18:15 PST 2020,1583540295
Belgium,109,0,1,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Hong Kong,108,2,2,51,Fri Mar  6 16:18:15 PST 2020,1583540295
Norway,101,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Malaysia,83,0,,23,Fri Mar  6 16:18:15 PST 2020,1583540295
Australia,61,2,,22,Fri Mar  6 16:18:15 PST 2020,1583540295
Kuwait,58,0,0,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Austria,55,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Bahrain,49,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Canada,52,0,,8,Fri Mar  6 16:18:15 PST 2020,1583540295
Thailand,47,1,1,31,Fri Mar  6 16:18:15 PST 2020,1583540295
Taiwan,45,1,0,12,Fri Mar  6 16:18:15 PST 2020,1583540295
Greece,45,0,1,,Fri Mar  6 16:18:15 PST 2020,1583540295
Iraq,35,2,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Iceland,34,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
India,30,0,,3,Fri Mar  6 16:18:15 PST 2020,1583540295
UAE,27,0,2,5,Fri Mar  6 16:18:15 PST 2020,1583540295
Czech Republic,19,0,0,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Ireland,18,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Algeria,17,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Israel,17,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Vietnam,17,0,,16,Fri Mar  6 16:18:15 PST 2020,1583540295
San Marino,16,1,3,,Fri Mar  6 16:18:15 PST 2020,1583540295
Lebanon,16,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Oman,16,0,,2,Fri Mar  6 16:18:15 PST 2020,1583540295
Denmark,15,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Ecuador,13,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Brazil,13,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Finland,12,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Macau,10,0,,6,Fri Mar  6 16:18:15 PST 2020,1583540295
Croatia,10,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Georgia,9,0,1,,Fri Mar  6 16:18:15 PST 2020,1583540295
Qatar,8,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Portugal,8,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Romania,8,0,,3,Fri Mar  6 16:18:15 PST 2020,1583540295
Belarus,6,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Azerbaijan,6,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Slovenia,6,0,,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Mexico,5,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Estonia,5,0,0,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Saudi Arabia,5,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Pakistan,5,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Philippines,5,1,1,2,Fri Mar  6 16:18:15 PST 2020,1583540295
Poland,5,0,0,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Chile,5,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Senegal,4,0,0,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Palestine,4,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Russia,4,0,,2,Fri Mar  6 16:18:15 PST 2020,1583540295
New Zealand,4,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Indonesia,4,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Egypt,3,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Hungary,2,0,0,0,Fri Mar  6 16:18:15 PST 2020,1583540295
Morocco,2,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Bosnia,2,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Luxembourg,2,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Cameroon,2,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Nepal,1,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Cambodia,1,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Sri Lanka,1,0,,1,Fri Mar  6 16:18:15 PST 2020,1583540295
Afghanistan,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
North Macedonia,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Nigeria,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Lithuania,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Monaco,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Ukraine,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Latvia,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Tunisia,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Jordan,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Andorra,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
