OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
South Korea,6593,42,27,25,108,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Iran,4747,124,,,913,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Italy,4636,197,462,,523,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Germany,639,0,,2,17,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
France,613,9,23,,12,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Japan,350,6,29,,10,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Spain,296,3,7,,2,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
United States,270,14,2,6,9,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Switzerland,210,1,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
United Kingdom,164,1,,,12,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Sweden,136,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Netherlands,128,1,1,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Singapore,117,0,,7,81,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Belgium,109,0,1,,1,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Norway,101,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Malaysia,83,0,,,23,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Australia,61,2,,,22,,Fri Mar  6 12:47:46 PST 2020,1583527666
Kuwait,58,0,0,0,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Austria,55,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Bahrain,49,0,,,1,,Fri Mar  6 12:47:46 PST 2020,1583527666
Canada,48,0,,1,8,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Thailand,47,1,1,,31,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Taiwan,45,1,0,0,12,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Greece,45,0,1,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Iraq,35,2,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Iceland,34,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
India,30,0,,,3,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
UAE,27,0,2,,5,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Ireland,18,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Algeria,17,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Israel,17,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Vietnam,16,0,,,16,,Fri Mar  6 12:47:46 PST 2020,1583527666
San Marino,16,1,3,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Lebanon,16,0,,1,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Oman,16,0,,,2,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Denmark,15,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Ecuador,13,0,,1,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Brazil,13,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Finland,12,0,,,1,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Macau,10,0,,,6,,Fri Mar  6 12:47:46 PST 2020,1583527666
Croatia,10,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Georgia,9,0,1,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Qatar,8,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Portugal,8,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Romania,7,0,,,1,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Belarus,6,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Azerbaijan,6,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Slovenia,6,0,,,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Mexico,5,0,,,1,,Fri Mar  6 12:47:46 PST 2020,1583527666
Estonia,5,0,0,0,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Saudi Arabia,5,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Pakistan,5,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Philippines,5,1,1,,2,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Poland,5,0,0,0,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Chile,5,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Senegal,4,0,0,0,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Palestine,4,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Russia,4,0,,,2,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
New Zealand,4,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Indonesia,4,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Egypt,3,0,,,1,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Hungary,2,0,0,0,0,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Morocco,2,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Bosnia,2,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Luxembourg,2,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Nepal,1,0,,,1,,Fri Mar  6 12:47:46 PST 2020,1583527666
Cambodia,1,0,,,1,,Fri Mar  6 12:47:46 PST 2020,1583527666
Sri Lanka,1,0,,,1,,Fri Mar  6 12:47:46 PST 2020,1583527666
Afghanistan,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
North Macedonia,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Nigeria,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Lithuania,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Monaco,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Ukraine,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Latvia,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Tunisia,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Jordan,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Andorra,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Armenia,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Dominican Republic,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Argentina,1,0,,,,,Fri Mar  6 12:47:46 PST 2020,1583527666
Liechtenstein,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Bhutan,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Gibraltar,1,0,1,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Serbia,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Vatican City,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Cameroon,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
Colombia,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
South Africa,1,0,,,,Source,Fri Mar  6 12:47:46 PST 2020,1583527666
TOTAL,101430,3456,6335,47,55630,,Fri Mar  6 12:47:46 PST 2020,1583527666
