OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Lithuania,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Monaco,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Ukraine,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Latvia,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Tunisia,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Jordan,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Andorra,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Armenia,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Dominican Republic,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Argentina,1,0,,,,,Fri Mar  6 11:12:24 PST 2020,1583521944
Liechtenstein,1,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Bhutan,1,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Gibraltar,1,0,1,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Serbia,1,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Vatican City,1,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Cameroon,1,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
South Africa,1,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
TOTAL,101206,3456,6334,47,55630,,Fri Mar  6 11:12:24 PST 2020,1583521944
