OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Latvia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Tunisia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Jordan,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Andorra,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Armenia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Dominican Republic,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Liechtenstein,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Bhutan,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Gibraltar,1,0,1,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Serbia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Vatican City,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Colombia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
South Africa,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
TOTAL,106038,3600,5836,59,59866,Sat Mar  7 19:08:44 PST 2020,1583636924
