OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
South Korea,6593,42,27,25,108,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Iran,4747,124,,,913,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Italy,4636,197,462,,523,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Germany,639,0,,2,17,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
France,613,9,23,,12,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Japan,350,6,29,,10,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Spain,296,3,7,,2,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
United States,270,14,2,6,9,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Switzerland,210,1,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
United Kingdom,164,1,,,12,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Sweden,136,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Netherlands,128,1,1,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Singapore,117,0,,7,81,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Belgium,109,0,1,,1,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Norway,101,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Malaysia,83,0,,,23,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Australia,61,2,,,22,,Fri Mar  6 12:48:18 PST 2020,1583527698
Kuwait,58,0,0,0,0,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Austria,55,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Bahrain,49,0,,,1,,Fri Mar  6 12:48:18 PST 2020,1583527698
Canada,48,0,,1,8,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Thailand,47,1,1,,31,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Taiwan,45,1,0,0,12,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Greece,45,0,1,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Iraq,35,2,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Iceland,34,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
India,30,0,,,3,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
UAE,27,0,2,,5,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Ireland,18,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Algeria,17,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Israel,17,0,,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Vietnam,16,0,,,16,,Fri Mar  6 12:48:18 PST 2020,1583527698
San Marino,16,1,3,,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
Lebanon,16,0,,1,,Source,Fri Mar  6 12:48:18 PST 2020,1583527698
