OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
South Korea,6593,42,27,25,108,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Iran,4747,124,,,913,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Italy,4636,197,462,,523,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Germany,639,0,,2,17,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
France,613,9,23,,12,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Japan,350,6,29,,10,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Spain,296,3,7,,2,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
United States,259,14,2,6,9,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Sweden,136,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Netherlands,128,1,1,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Singapore,117,0,,7,81,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
United Kingdom,116,1,,,12,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Belgium,109,0,1,,1,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Norway,101,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Switzerland,80,1,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Malaysia,83,0,,,23,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Australia,61,2,,,22,,Fri Mar  6 11:13:20 PST 2020,1583522000
Kuwait,58,0,0,0,0,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Austria,55,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Bahrain,49,0,,,1,,Fri Mar  6 11:13:20 PST 2020,1583522000
Canada,48,0,,1,8,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Thailand,47,1,1,,31,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Taiwan,45,1,0,0,12,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Iraq,35,2,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Iceland,34,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Greece,31,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
India,30,0,,,3,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
UAE,27,0,2,,5,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Algeria,17,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Israel,17,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Vietnam,16,0,,,16,,Fri Mar  6 11:13:20 PST 2020,1583522000
San Marino,16,1,3,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Lebanon,16,0,,1,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Oman,16,0,,,2,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Denmark,15,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Ecuador,13,0,,1,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Ireland,13,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Finland,12,0,,,1,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Macau,10,0,,,6,,Fri Mar  6 11:13:20 PST 2020,1583522000
Croatia,10,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Brazil,9,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Georgia,9,0,1,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Qatar,8,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Czech Republic,8,0,0,0,0,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Portugal,8,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Romania,7,0,,,1,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Belarus,6,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Azerbaijan,6,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Slovenia,6,0,,,0,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Mexico,5,0,,,1,,Fri Mar  6 11:13:20 PST 2020,1583522000
Estonia,5,0,0,0,0,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Saudi Arabia,5,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Pakistan,5,0,,,,,Fri Mar  6 11:13:20 PST 2020,1583522000
Philippines,5,1,1,,2,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Poland,5,0,0,0,0,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Chile,5,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Senegal,4,0,0,0,0,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Palestine,4,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Russia,4,0,,,2,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
New Zealand,4,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
Indonesia,4,0,,,,Source,Fri Mar  6 11:13:20 PST 2020,1583522000
