china,location,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Hubei province(includes Wuhan),67466,2902,5788,,40479,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Guangdong province,1351,7,11,19,1209,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Henan province,1272,22,0,1,1241,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Zhejiang province,1215,1,1,2,1130,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Hunan province,1018,4,8,,946,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Beijing,422,8,,,298,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Shanghai,339,3,1,8,303,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,Other regions,7332,65,100+,,,Thu Mar  5 17:12:13 PST 2020,1583457133
inside,CHINA TOTAL,80415,3012,5952,,52045,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,South Korea,6088,42,27,25,88,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Italy,3858,148,351,,414,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Iran,3513,108,,,552,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Diamond Princess,696,6,34,,40,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,France,423,7,23,,12,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Germany,400,0,,2,17,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Japan,350,6,29,,10,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Spain,248,3,7,,2,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,United States,207,12,2,6,9,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Singapore,117,0,,7,81,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,United Kingdom,116,1,,,8,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Hong Kong,105,2,2,4,36,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Switzerland,80,1,,,,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Norway,72,0,,,,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Sweden,90,0,,,,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Netherlands,82,0,1,,,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Australia,60,2,,,22,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Kuwait,58,0,0,0,0,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Malaysia,55,0,,,22,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Belgium,50,0,1,,1,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Bahrain,49,0,,,1,Thu Mar  5 17:12:13 PST 2020,1583457133
outside,Thailand,47,1,1,,31,Thu Mar  5 17:12:13 PST 2020,1583457133
