OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80735,3119,5111,,58600,Mon Mar  9 08:29:07 PDT 2020,1583767747
South Korea,7478,53,,36,166,Mon Mar  9 08:29:07 PDT 2020,1583767747
Italy,7375,366,462,,622,Mon Mar  9 08:29:07 PDT 2020,1583767747
Iran,7161,237,,,2394,Mon Mar  9 08:29:07 PDT 2020,1583767747
France,1209,19,21,,12,Mon Mar  9 08:29:07 PDT 2020,1583767747
Germany,1151,0,,2,18,Mon Mar  9 08:29:07 PDT 2020,1583767747
Spain,979,25,11,,32,Mon Mar  9 08:29:07 PDT 2020,1583767747
Diamond Princess,696,7,31,,245,Mon Mar  9 08:29:07 PDT 2020,1583767747
United States,551,22,2,6,9,Mon Mar  9 08:29:07 PDT 2020,1583767747
Japan,497,7,30,,59,Mon Mar  9 08:29:07 PDT 2020,1583767747
Switzerland,374,2,,,3,Mon Mar  9 08:29:07 PDT 2020,1583767747
United Kingdom,280,3,,,12,Mon Mar  9 08:29:07 PDT 2020,1583767747
Netherlands,265,3,1,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Belgium,239,0,1,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
Sweden,203,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Norway,176,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Singapore,150,0,,9,90,Mon Mar  9 08:29:07 PDT 2020,1583767747
Malaysia,117,0,2,,24,Mon Mar  9 08:29:07 PDT 2020,1583767747
Hong Kong,115,2,2,4,59,Mon Mar  9 08:29:07 PDT 2020,1583767747
Austria,112,0,,,2,Mon Mar  9 08:29:07 PDT 2020,1583767747
Bahrain,109,0,,,14,Mon Mar  9 08:29:07 PDT 2020,1583767747
Australia,91,3,,,22,Mon Mar  9 08:29:07 PDT 2020,1583767747
Greece,73,0,1,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Kuwait,64,0,2,1,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Canada,67,0,,1,8,Mon Mar  9 08:29:07 PDT 2020,1583767747
Iraq,60,5,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
UAE,59,0,2,,7,Mon Mar  9 08:29:07 PDT 2020,1583767747
Iceland,58,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Egypt,55,1,,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
Thailand,50,1,1,,31,Mon Mar  9 08:29:07 PDT 2020,1583767747
Taiwan,45,1,0,0,15,Mon Mar  9 08:29:07 PDT 2020,1583767747
India,43,0,,,4,Mon Mar  9 08:29:07 PDT 2020,1583767747
Israel,39,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Denmark*,37,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
San Marino,36,1,5,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Lebanon,32,0,,1,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Czech Republic,31,0,0,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Vietnam,31,0,,,16,Mon Mar  9 08:29:07 PDT 2020,1583767747
Portugal,30,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Finland,30,0,,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
Brazil,25,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Ireland,21,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Algeria,20,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Philippines,20,1,1,,2,Mon Mar  9 08:29:07 PDT 2020,1583767747
Indonesia,19,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Qatar,18,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Oman,16,0,,,2,Mon Mar  9 08:29:07 PDT 2020,1583767747
Poland,16,0,2,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Slovenia,16,0,0,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Russia,15,0,,,3,Mon Mar  9 08:29:07 PDT 2020,1583767747
Saudi Arabia,15,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Ecuador,15,0,,1,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Georgia,15,0,1,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Romania,14,0,,,4,Mon Mar  9 08:29:07 PDT 2020,1583767747
Argentina,12,1,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Croatia,12,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Macau,10,0,,,6,Mon Mar  9 08:29:07 PDT 2020,1583767747
Chile,10,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Estonia,10,0,0,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Costa Rica,9,0,1,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Hungary,9,0,0,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Mexico,7,0,1,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
Peru,7,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Belarus,6,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Azerbaijan,6,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Latvia,6,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
New Zealand,5,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Luxembourg,5,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Pakistan,5,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Slovakia,5,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Senegal,4,0,0,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Palestine,4,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Afghanistan,4,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Bulgaria,4,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Maldives,4,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
South Africa,3,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Bangladesh,3,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Morocco,2,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Bosnia,2,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Cameroon,2,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Cambodia,2,0,,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
Tunisia,2,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Albania,2,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Nigeria,2,0,0,0,0,Mon Mar  9 08:29:07 PDT 2020,1583767747
Moldova,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Malta,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Togo,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Paraguay,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Nepal,1,0,,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
Sri Lanka,1,0,,,1,Mon Mar  9 08:29:07 PDT 2020,1583767747
North Macedonia,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Lithuania,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Monaco,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Ukraine,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Jordan,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Andorra,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Armenia,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Dominican Republic,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Liechtenstein,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Bhutan,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Gibraltar,1,0,1,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Serbia,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Vatican City,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
Colombia,1,0,,,,Mon Mar  9 08:29:07 PDT 2020,1583767747
