OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
South Korea,6593,42,27,25,108,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Iran,4747,124,,,913,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Italy,4636,197,462,,523,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Germany,639,0,,2,17,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
France,613,9,23,,12,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Japan,350,6,29,,10,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Spain,296,3,7,,2,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
United States,284,14,2,6,9,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Switzerland,210,1,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
United Kingdom,164,1,,,12,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Sweden,136,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Singapore,130,0,,9,82,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Netherlands,128,1,1,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Belgium,109,0,1,,1,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Norway,101,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Malaysia,83,0,,,23,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Australia,61,2,,,22,,Fri Mar  6 14:57:56 PST 2020,1583535476
Kuwait,58,0,0,0,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Austria,55,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Bahrain,49,0,,,1,,Fri Mar  6 14:57:56 PST 2020,1583535476
Canada,48,0,,1,8,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Thailand,47,1,1,,31,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Taiwan,45,1,0,0,12,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Greece,45,0,1,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Iraq,35,2,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Iceland,34,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
India,30,0,,,3,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
UAE,27,0,2,,5,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Ireland,18,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Algeria,17,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Israel,17,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Vietnam,16,0,,,16,,Fri Mar  6 14:57:56 PST 2020,1583535476
San Marino,16,1,3,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Lebanon,16,0,,1,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Oman,16,0,,,2,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Denmark,15,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Ecuador,13,0,,1,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Brazil,13,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Finland,12,0,,,1,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Macau,10,0,,,6,,Fri Mar  6 14:57:56 PST 2020,1583535476
Croatia,10,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Georgia,9,0,1,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Qatar,8,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Portugal,8,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Romania,8,0,,,3,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Belarus,6,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Azerbaijan,6,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Slovenia,6,0,,,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Mexico,5,0,,,1,,Fri Mar  6 14:57:56 PST 2020,1583535476
Estonia,5,0,0,0,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Saudi Arabia,5,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Pakistan,5,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Philippines,5,1,1,,2,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Poland,5,0,0,0,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Chile,5,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Senegal,4,0,0,0,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Palestine,4,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Russia,4,0,,,2,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
New Zealand,4,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Indonesia,4,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Egypt,3,0,,,1,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Hungary,2,0,0,0,0,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Morocco,2,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Bosnia,2,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Luxembourg,2,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Nepal,1,0,,,1,,Fri Mar  6 14:57:56 PST 2020,1583535476
Cambodia,1,0,,,1,,Fri Mar  6 14:57:56 PST 2020,1583535476
Sri Lanka,1,0,,,1,,Fri Mar  6 14:57:56 PST 2020,1583535476
Afghanistan,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
North Macedonia,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Nigeria,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Lithuania,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Monaco,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Ukraine,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Latvia,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Tunisia,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Jordan,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Andorra,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Armenia,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Dominican Republic,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Argentina,1,0,,,,,Fri Mar  6 14:57:56 PST 2020,1583535476
Liechtenstein,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Bhutan,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Gibraltar,1,0,1,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Serbia,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Vatican City,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Cameroon,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
Colombia,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
South Africa,1,0,,,,Source,Fri Mar  6 14:57:56 PST 2020,1583535476
TOTAL,101461,3456,6335,49,55648,,Fri Mar  6 14:57:56 PST 2020,1583535476
