OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
South Korea,6593,42,27,25,108,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Iran,4747,124,,,913,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Italy,4636,197,462,,523,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Germany,639,0,,2,17,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
France,613,9,23,,12,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Japan,350,6,29,,10,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Spain,296,3,7,,2,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
United States,259,14,2,6,9,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Switzerland,210,1,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
United Kingdom,164,1,,,12,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Sweden,136,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Netherlands,128,1,1,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Singapore,117,0,,7,81,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Belgium,109,0,1,,1,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Norway,101,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Malaysia,83,0,,,23,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Australia,61,2,,,22,,Fri Mar  6 12:01:17 PST 2020,1583524877
Kuwait,58,0,0,0,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Austria,55,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Bahrain,49,0,,,1,,Fri Mar  6 12:01:17 PST 2020,1583524877
Canada,48,0,,1,8,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Thailand,47,1,1,,31,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Taiwan,45,1,0,0,12,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Greece,45,0,1,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Iraq,35,2,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Iceland,34,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
India,30,0,,,3,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
UAE,27,0,2,,5,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Algeria,17,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Israel,17,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Vietnam,16,0,,,16,,Fri Mar  6 12:01:17 PST 2020,1583524877
San Marino,16,1,3,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Lebanon,16,0,,1,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Oman,16,0,,,2,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Denmark,15,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Ecuador,13,0,,1,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Ireland,13,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Brazil,13,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Finland,12,0,,,1,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Macau,10,0,,,6,,Fri Mar  6 12:01:17 PST 2020,1583524877
Croatia,10,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Georgia,9,0,1,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Qatar,8,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Portugal,8,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Romania,7,0,,,1,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Belarus,6,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Azerbaijan,6,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Slovenia,6,0,,,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Mexico,5,0,,,1,,Fri Mar  6 12:01:17 PST 2020,1583524877
Estonia,5,0,0,0,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Saudi Arabia,5,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Pakistan,5,0,,,,,Fri Mar  6 12:01:17 PST 2020,1583524877
Philippines,5,1,1,,2,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Poland,5,0,0,0,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Chile,5,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Senegal,4,0,0,0,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Palestine,4,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Russia,4,0,,,2,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
New Zealand,4,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Indonesia,4,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Egypt,3,0,,,1,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Hungary,2,0,0,0,0,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Morocco,2,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Bosnia,2,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Luxembourg,2,0,,,,Source,Fri Mar  6 12:01:17 PST 2020,1583524877
Nepal,1,0,,,1,,Fri Mar  6 12:01:17 PST 2020,1583524877
Cambodia,1,0,,,1,,Fri Mar  6 12:01:17 PST 2020,1583524877
Sri Lanka,1,0,,,1,,Fri Mar  6 12:01:17 PST 2020,1583524877
