4,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
5,Mainland China,80555,3042,5737,,53726,Fri Mar  6 10:57:10 PST 2020,1583521030
6,South Korea,6593,42,27,25,108,Fri Mar  6 10:57:10 PST 2020,1583521030
7,Iran,4747,124,,,913,Fri Mar  6 10:57:10 PST 2020,1583521030
8,Italy,4636,197,462,,523,Fri Mar  6 10:57:10 PST 2020,1583521030
9,Diamond Princess,696,6,34,,40,Fri Mar  6 10:57:10 PST 2020,1583521030
10,Germany,639,0,,2,17,Fri Mar  6 10:57:10 PST 2020,1583521030
11,France,613,9,23,,12,Fri Mar  6 10:57:10 PST 2020,1583521030
12,Japan,350,6,29,,10,Fri Mar  6 10:57:10 PST 2020,1583521030
13,Spain,296,3,7,,2,Fri Mar  6 10:57:10 PST 2020,1583521030
14,United States,253,14,2,6,9,Fri Mar  6 10:57:10 PST 2020,1583521030
15,Sweden,136,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
16,Netherlands,128,1,1,,,Fri Mar  6 10:57:10 PST 2020,1583521030
17,Singapore,117,0,,7,81,Fri Mar  6 10:57:10 PST 2020,1583521030
18,United Kingdom,116,1,,,12,Fri Mar  6 10:57:10 PST 2020,1583521030
19,Belgium,109,0,1,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
20,Hong Kong,105,2,2,4,36,Fri Mar  6 10:57:10 PST 2020,1583521030
21,Norway,101,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
22,Switzerland,80,1,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
23,Malaysia,83,0,,,23,Fri Mar  6 10:57:10 PST 2020,1583521030
24,Australia,61,2,,,22,Fri Mar  6 10:57:10 PST 2020,1583521030
25,Kuwait,58,0,0,0,0,Fri Mar  6 10:57:10 PST 2020,1583521030
26,Bahrain,49,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
27,Canada,48,0,,1,8,Fri Mar  6 10:57:10 PST 2020,1583521030
28,Austria,47,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
29,Thailand,47,1,1,,31,Fri Mar  6 10:57:10 PST 2020,1583521030
30,Taiwan,45,1,0,0,12,Fri Mar  6 10:57:10 PST 2020,1583521030
31,Iraq,35,2,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
32,Iceland,34,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
33,Greece,31,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
34,India,30,0,,,3,Fri Mar  6 10:57:10 PST 2020,1583521030
35,UAE,27,0,2,,5,Fri Mar  6 10:57:10 PST 2020,1583521030
36,Algeria,17,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
37,Israel,17,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
38,Vietnam,16,0,,,16,Fri Mar  6 10:57:10 PST 2020,1583521030
39,San Marino,16,1,3,,,Fri Mar  6 10:57:10 PST 2020,1583521030
40,Lebanon,16,0,,1,,Fri Mar  6 10:57:10 PST 2020,1583521030
41,Oman,16,0,,,2,Fri Mar  6 10:57:10 PST 2020,1583521030
42,Denmark,15,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
43,Ecuador,13,0,,1,,Fri Mar  6 10:57:10 PST 2020,1583521030
44,Ireland,13,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
45,Finland,12,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
46,Macau,10,0,,,6,Fri Mar  6 10:57:10 PST 2020,1583521030
47,Croatia,10,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
48,Brazil,9,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
49,Georgia,9,0,1,,,Fri Mar  6 10:57:10 PST 2020,1583521030
50,Qatar,8,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
51,Czech Republic,8,0,0,0,0,Fri Mar  6 10:57:10 PST 2020,1583521030
52,Portugal,8,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
53,Romania,7,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
54,Belarus,6,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
55,Azerbaijan,6,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
56,Slovenia,6,0,,,0,Fri Mar  6 10:57:10 PST 2020,1583521030
57,Mexico,5,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
58,Estonia,5,0,0,0,0,Fri Mar  6 10:57:10 PST 2020,1583521030
59,Saudi Arabia,5,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
60,Pakistan,5,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
61,Philippines,5,1,1,,2,Fri Mar  6 10:57:10 PST 2020,1583521030
62,Poland,5,0,0,0,0,Fri Mar  6 10:57:10 PST 2020,1583521030
63,Chile,5,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
64,Senegal,4,0,0,0,0,Fri Mar  6 10:57:10 PST 2020,1583521030
65,Palestine,4,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
66,Russia,4,0,,,2,Fri Mar  6 10:57:10 PST 2020,1583521030
67,New Zealand,4,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
68,Indonesia,4,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
69,Egypt,3,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
70,Hungary,2,0,0,0,0,Fri Mar  6 10:57:10 PST 2020,1583521030
71,Morocco,2,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
72,Bosnia,2,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
73,Luxembourg,2,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
74,Nepal,1,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
75,Cambodia,1,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
76,Sri Lanka,1,0,,,1,Fri Mar  6 10:57:10 PST 2020,1583521030
77,Afghanistan,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
78,North Macedonia,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
79,Nigeria,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
80,Lithuania,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
81,Monaco,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
82,Ukraine,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
83,Latvia,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
84,Tunisia,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
85,Jordan,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
86,Andorra,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
87,Armenia,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
88,Dominican Republic,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
89,Argentina,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
90,Liechtenstein,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
91,Bhutan,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
92,Gibraltar,1,0,1,,,Fri Mar  6 10:57:10 PST 2020,1583521030
93,Serbia,1,0,,,,Fri Mar  6 10:57:10 PST 2020,1583521030
