OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
South Korea,6593,42,27,25,108,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Iran,4747,124,,,913,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Italy,4636,197,462,,523,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Germany,639,0,,2,17,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
France,613,9,23,,12,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Japan,350,6,29,,10,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Spain,296,3,7,,2,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
United States,272,14,2,6,9,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Switzerland,210,1,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
United Kingdom,164,1,,,12,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Sweden,136,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Singapore,130,0,,9,82,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Netherlands,128,1,1,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Belgium,109,0,1,,1,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Norway,101,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Malaysia,83,0,,,23,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Australia,61,2,,,22,,Fri Mar  6 14:12:34 PST 2020,1583532754
Kuwait,58,0,0,0,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Austria,55,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Bahrain,49,0,,,1,,Fri Mar  6 14:12:34 PST 2020,1583532754
Canada,48,0,,1,8,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Thailand,47,1,1,,31,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Taiwan,45,1,0,0,12,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Greece,45,0,1,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Iraq,35,2,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Iceland,34,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
India,30,0,,,3,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
UAE,27,0,2,,5,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Ireland,18,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Algeria,17,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Israel,17,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Vietnam,16,0,,,16,,Fri Mar  6 14:12:34 PST 2020,1583532754
San Marino,16,1,3,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Lebanon,16,0,,1,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Oman,16,0,,,2,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Denmark,15,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Ecuador,13,0,,1,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Brazil,13,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Finland,12,0,,,1,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Macau,10,0,,,6,,Fri Mar  6 14:12:34 PST 2020,1583532754
Croatia,10,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Georgia,9,0,1,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Qatar,8,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Portugal,8,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Romania,8,0,,,3,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Belarus,6,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Azerbaijan,6,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Slovenia,6,0,,,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Mexico,5,0,,,1,,Fri Mar  6 14:12:34 PST 2020,1583532754
Estonia,5,0,0,0,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Saudi Arabia,5,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Pakistan,5,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Philippines,5,1,1,,2,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Poland,5,0,0,0,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Chile,5,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Senegal,4,0,0,0,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Palestine,4,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Russia,4,0,,,2,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
New Zealand,4,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Indonesia,4,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Egypt,3,0,,,1,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Hungary,2,0,0,0,0,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Morocco,2,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Bosnia,2,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Luxembourg,2,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Nepal,1,0,,,1,,Fri Mar  6 14:12:34 PST 2020,1583532754
Cambodia,1,0,,,1,,Fri Mar  6 14:12:34 PST 2020,1583532754
Sri Lanka,1,0,,,1,,Fri Mar  6 14:12:34 PST 2020,1583532754
Afghanistan,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
North Macedonia,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Nigeria,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Lithuania,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Monaco,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Ukraine,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Latvia,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Tunisia,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Jordan,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Andorra,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Armenia,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Dominican Republic,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Argentina,1,0,,,,,Fri Mar  6 14:12:34 PST 2020,1583532754
Liechtenstein,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Bhutan,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Gibraltar,1,0,1,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Serbia,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Vatican City,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Cameroon,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
Colombia,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
South Africa,1,0,,,,Source,Fri Mar  6 14:12:34 PST 2020,1583532754
TOTAL,101449,3456,6335,49,55648,,Fri Mar  6 14:12:34 PST 2020,1583532754
