OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
South Korea,6593,42,27,25,108,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Iran,4747,124,,,913,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Italy,4636,197,462,,523,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Germany,639,0,,2,17,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
France,613,9,23,,12,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Japan,350,6,29,,10,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Spain,296,3,7,,2,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
United States,270,14,2,6,9,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Switzerland,210,1,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
United Kingdom,164,1,,,12,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Sweden,136,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Singapore,130,0,,9,82,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Netherlands,128,1,1,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Belgium,109,0,1,,1,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Norway,101,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Malaysia,83,0,,,23,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Australia,61,2,,,22,,Fri Mar  6 13:03:45 PST 2020,1583528625
Kuwait,58,0,0,0,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Austria,55,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Bahrain,49,0,,,1,,Fri Mar  6 13:03:45 PST 2020,1583528625
Canada,48,0,,1,8,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Thailand,47,1,1,,31,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Taiwan,45,1,0,0,12,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Greece,45,0,1,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Iraq,35,2,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Iceland,34,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
India,30,0,,,3,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
UAE,27,0,2,,5,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Ireland,18,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Algeria,17,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Israel,17,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Vietnam,16,0,,,16,,Fri Mar  6 13:03:45 PST 2020,1583528625
San Marino,16,1,3,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Lebanon,16,0,,1,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Oman,16,0,,,2,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Denmark,15,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Ecuador,13,0,,1,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Brazil,13,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Finland,12,0,,,1,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Macau,10,0,,,6,,Fri Mar  6 13:03:45 PST 2020,1583528625
Croatia,10,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Georgia,9,0,1,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Qatar,8,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Portugal,8,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Romania,8,0,,,3,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Belarus,6,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Azerbaijan,6,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Slovenia,6,0,,,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Mexico,5,0,,,1,,Fri Mar  6 13:03:45 PST 2020,1583528625
Estonia,5,0,0,0,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Saudi Arabia,5,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Pakistan,5,0,,,,,Fri Mar  6 13:03:45 PST 2020,1583528625
Philippines,5,1,1,,2,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Poland,5,0,0,0,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Chile,5,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Senegal,4,0,0,0,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Palestine,4,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Russia,4,0,,,2,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
New Zealand,4,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Indonesia,4,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Egypt,3,0,,,1,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Hungary,2,0,0,0,0,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Morocco,2,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
Bosnia,2,0,,,,Source,Fri Mar  6 13:03:45 PST 2020,1583528625
