OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80754,3136,4794,,59897,Mon Mar  9 18:53:55 PDT 2020,1583805235
South Korea,7513,54,,36,247,Mon Mar  9 18:53:55 PDT 2020,1583805235
Italy,9172,463,733,,724,Mon Mar  9 18:53:55 PDT 2020,1583805235
Iran,7161,237,,,2394,Mon Mar  9 18:53:55 PDT 2020,1583805235
France,1412,30,66,,12,Mon Mar  9 18:53:55 PDT 2020,1583805235
Germany,1224,2,,2,18,Mon Mar  9 18:53:55 PDT 2020,1583805235
Spain,1231,30,11,,32,Mon Mar  9 18:53:55 PDT 2020,1583805235
Diamond Princess,696,7,31,,245,Mon Mar  9 18:53:55 PDT 2020,1583805235
United States,628,26,2,6,9,Mon Mar  9 18:53:55 PDT 2020,1583805235
Japan,497,7,30,,59,Mon Mar  9 18:53:55 PDT 2020,1583805235
Switzerland,374,2,,,3,Mon Mar  9 18:53:55 PDT 2020,1583805235
Netherlands,321,3,1,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
United Kingdom,319,3,,,12,Mon Mar  9 18:53:55 PDT 2020,1583805235
Sweden,248,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Belgium,239,0,1,1,1,Mon Mar  9 18:53:55 PDT 2020,1583805235
Norway,227,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Singapore,160,0,,10,93,Mon Mar  9 18:53:55 PDT 2020,1583805235
Austria,131,0,,,2,Mon Mar  9 18:53:55 PDT 2020,1583805235
Malaysia,117,0,2,,24,Mon Mar  9 18:53:55 PDT 2020,1583805235
Hong Kong,116,2,2,4,59,Mon Mar  9 18:53:55 PDT 2020,1583805235
Bahrain,109,0,,,14,Mon Mar  9 18:53:55 PDT 2020,1583805235
Australia,91,3,,,22,Mon Mar  9 18:53:55 PDT 2020,1583805235
Greece,84,0,1,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Canada,67,0,,1,8,Mon Mar  9 18:53:55 PDT 2020,1583805235
Iceland,65,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Kuwait,64,0,2,1,0,Mon Mar  9 18:53:55 PDT 2020,1583805235
Iraq,60,5,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
UAE,59,0,2,,7,Mon Mar  9 18:53:55 PDT 2020,1583805235
Egypt,55,1,,,1,Mon Mar  9 18:53:55 PDT 2020,1583805235
Thailand,50,1,1,,31,Mon Mar  9 18:53:55 PDT 2020,1583805235
San Marino,49,2,5,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Taiwan,45,1,0,0,15,Mon Mar  9 18:53:55 PDT 2020,1583805235
India,43,0,,,4,Mon Mar  9 18:53:55 PDT 2020,1583805235
Portugal,39,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Israel,39,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Denmark*,37,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Lebanon,32,0,,1,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Czech Republic,31,0,0,0,0,Mon Mar  9 18:53:55 PDT 2020,1583805235
Vietnam,31,0,,,16,Mon Mar  9 18:53:55 PDT 2020,1583805235
Finland,30,0,,,1,Mon Mar  9 18:53:55 PDT 2020,1583805235
Brazil,25,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Ireland,24,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Algeria,20,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Philippines,20,1,1,,2,Mon Mar  9 18:53:55 PDT 2020,1583805235
Indonesia,19,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Qatar,18,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Romania,17,0,,,4,Mon Mar  9 18:53:55 PDT 2020,1583805235
Oman,16,0,,,2,Mon Mar  9 18:53:55 PDT 2020,1583805235
Poland,16,0,2,0,0,Mon Mar  9 18:53:55 PDT 2020,1583805235
Slovenia,16,0,0,0,0,Mon Mar  9 18:53:55 PDT 2020,1583805235
Russia,15,0,,,3,Mon Mar  9 18:53:55 PDT 2020,1583805235
Saudi Arabia,15,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Ecuador,15,0,,1,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Georgia,15,0,1,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Argentina,12,1,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Croatia,12,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
Macau,10,0,,,6,Mon Mar  9 18:53:55 PDT 2020,1583805235
Chile,10,0,,,,Mon Mar  9 18:53:55 PDT 2020,1583805235
