OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80793,3169,4257,,62793,Thu Mar 12 10:54:27 PDT 2020,1584035667
Italy,15113,1016,1153,,1258,Thu Mar 12 10:54:27 PDT 2020,1584035667
Iran,10075,429,,,2959,Thu Mar 12 10:54:27 PDT 2020,1584035667
South Korea,7869,66,,36,333,Thu Mar 12 10:54:27 PDT 2020,1584035667
Spain,3059,86,190,,189,Thu Mar 12 10:54:27 PDT 2020,1584035667
Germany,2512,5,,2,25,Thu Mar 12 10:54:27 PDT 2020,1584035667
France,2281,48,105,,12,Thu Mar 12 10:54:27 PDT 2020,1584035667
United States,1336,36,2,6,9,Thu Mar 12 10:54:27 PDT 2020,1584035667
Diamond Princess,696,7,14,,245,Thu Mar 12 10:54:27 PDT 2020,1584035667
Switzerland,642,4,,,4,Thu Mar 12 10:54:27 PDT 2020,1584035667
Japan,638,16,26,,59,Thu Mar 12 10:54:27 PDT 2020,1584035667
Norway,629,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Denmark*,617,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Netherlands,503,5,1,,2,Thu Mar 12 10:54:27 PDT 2020,1584035667
Sweden,500,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
United Kingdom,456,8,20,,12,Thu Mar 12 10:54:27 PDT 2020,1584035667
Belgium,314,3,,,1,Thu Mar 12 10:54:27 PDT 2020,1584035667
Austria,302,1,,,4,Thu Mar 12 10:54:27 PDT 2020,1584035667
Qatar,262,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Bahrain,195,0,,1,35,Thu Mar 12 10:54:27 PDT 2020,1584035667
Singapore,178,0,,9,96,Thu Mar 12 10:54:27 PDT 2020,1584035667
Malaysia,149,0,2,,26,Thu Mar 12 10:54:27 PDT 2020,1584035667
Australia,156,3,,,26,Thu Mar 12 10:54:27 PDT 2020,1584035667
Hong Kong,130,2,2,4,59,Thu Mar 12 10:54:27 PDT 2020,1584035667
Canada,109,1,,1,9,Thu Mar 12 10:54:27 PDT 2020,1584035667
Israel,100,0,1,,3,Thu Mar 12 10:54:27 PDT 2020,1584035667
Greece,99,1,2,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Czech Republic,94,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Iceland,85,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Kuwait,80,0,4,,5,Thu Mar 12 10:54:27 PDT 2020,1584035667
UAE,74,0,2,,17,Thu Mar 12 10:54:27 PDT 2020,1584035667
India,73,0,,,4,Thu Mar 12 10:54:27 PDT 2020,1584035667
Iraq,71,8,,,15,Thu Mar 12 10:54:27 PDT 2020,1584035667
Thailand,70,1,1,,35,Thu Mar 12 10:54:27 PDT 2020,1584035667
Egypt,67,1,,,27,Thu Mar 12 10:54:27 PDT 2020,1584035667
San Marino,62,2,5,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Lebanon,61,3,,3,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Finland,59,0,,,1,Thu Mar 12 10:54:27 PDT 2020,1584035667
Portugal,59,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Slovenia,57,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Brazil,52,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Philippines,52,2,1,,2,Thu Mar 12 10:54:27 PDT 2020,1584035667
Taiwan,49,1,0,0,20,Thu Mar 12 10:54:27 PDT 2020,1584035667
Romania,48,0,,,6,Thu Mar 12 10:54:27 PDT 2020,1584035667
Poland,47,0,2,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Saudi Arabia,45,0,,,1,Thu Mar 12 10:54:27 PDT 2020,1584035667
Ireland,43,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Vietnam,39,0,,,16,Thu Mar 12 10:54:27 PDT 2020,1584035667
Indonesia,34,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Palestine,30,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Russia,28,0,,,3,Thu Mar 12 10:54:27 PDT 2020,1584035667
Algeria,24,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Georgia,24,0,1,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Chile,23,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Costa Rica,22,0,1,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Argentina,21,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Pakistan,19,0,,,2,Thu Mar 12 10:54:27 PDT 2020,1584035667
Croatia,19,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Serbia,19,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Luxembourg,19,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Oman,18,0,0,0,9,Thu Mar 12 10:54:27 PDT 2020,1584035667
Peru,17,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Ecuador,17,0,,1,,Thu Mar 12 10:54:27 PDT 2020,1584035667
South Africa,17,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Latvia,16,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Albania,15,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Hungary,13,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Belarus,12,0,,,3,Thu Mar 12 10:54:27 PDT 2020,1584035667
Mexico,12,0,1,,4,Thu Mar 12 10:54:27 PDT 2020,1584035667
Azerbaijan,11,0,,,3,Thu Mar 12 10:54:27 PDT 2020,1584035667
Bosnia,11,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Macau,10,0,,,6,Thu Mar 12 10:54:27 PDT 2020,1584035667
Estonia,10,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Slovakia,10,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Colombia,9,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Panama,8,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Maldives,8,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Afghanistan,7,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
North Macedonia,7,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Bulgaria,7,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Malta,7,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Tunisia,7,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Cyprus,6,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Morocco,6,1,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
New Zealand,5,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Dominican Republic,5,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Paraguay,5,0,1,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Senegal,4,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Bangladesh,3,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Lithuania,3,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Cambodia,3,0,,,1,Thu Mar 12 10:54:27 PDT 2020,1584035667
Moldova,3,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Honduras,2,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Cameroon,2,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Nigeria,2,0,0,0,0,Thu Mar 12 10:54:27 PDT 2020,1584035667
Sri Lanka,2,0,,,1,Thu Mar 12 10:54:27 PDT 2020,1584035667
Jamaica,2,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Togo,1,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Nepal,1,0,,,1,Thu Mar 12 10:54:27 PDT 2020,1584035667
Monaco,1,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
Ukraine,1,0,,,,Thu Mar 12 10:54:27 PDT 2020,1584035667
