OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
South Korea,6593,42,27,25,108,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Iran,4747,124,,,913,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Italy,4636,197,462,,523,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Germany,639,0,,2,17,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
France,613,9,23,,12,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Japan,350,6,29,,10,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
United States,309,14,2,6,9,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Spain,296,3,7,,2,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Switzerland,210,1,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
United Kingdom,164,1,,,12,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Sweden,136,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Singapore,130,0,,9,82,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Netherlands,128,1,1,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Belgium,109,0,1,,1,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Norway,101,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Malaysia,83,0,,,23,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Australia,61,2,,,22,,Fri Mar  6 15:12:58 PST 2020,1583536378
Kuwait,58,0,0,0,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Austria,55,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Bahrain,49,0,,,1,,Fri Mar  6 15:12:58 PST 2020,1583536378
Canada,48,0,,1,8,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Thailand,47,1,1,,31,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Taiwan,45,1,0,0,12,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Greece,45,0,1,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Iraq,35,2,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Iceland,34,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
India,30,0,,,3,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
UAE,27,0,2,,5,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Ireland,18,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Algeria,17,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Israel,17,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Vietnam,16,0,,,16,,Fri Mar  6 15:12:58 PST 2020,1583536378
San Marino,16,1,3,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Lebanon,16,0,,1,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Oman,16,0,,,2,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Denmark,15,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Ecuador,13,0,,1,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Brazil,13,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Finland,12,0,,,1,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Macau,10,0,,,6,,Fri Mar  6 15:12:58 PST 2020,1583536378
Croatia,10,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Georgia,9,0,1,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Qatar,8,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Portugal,8,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Romania,8,0,,,3,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Belarus,6,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Azerbaijan,6,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Slovenia,6,0,,,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Mexico,5,0,,,1,,Fri Mar  6 15:12:58 PST 2020,1583536378
Estonia,5,0,0,0,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Saudi Arabia,5,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Pakistan,5,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Philippines,5,1,1,,2,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Poland,5,0,0,0,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Chile,5,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Senegal,4,0,0,0,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Palestine,4,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Russia,4,0,,,2,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
New Zealand,4,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Indonesia,4,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Egypt,3,0,,,1,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Hungary,2,0,0,0,0,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Morocco,2,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Bosnia,2,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Luxembourg,2,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Nepal,1,0,,,1,,Fri Mar  6 15:12:58 PST 2020,1583536378
Cambodia,1,0,,,1,,Fri Mar  6 15:12:58 PST 2020,1583536378
Sri Lanka,1,0,,,1,,Fri Mar  6 15:12:58 PST 2020,1583536378
Afghanistan,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
North Macedonia,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Nigeria,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Lithuania,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Monaco,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Ukraine,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Latvia,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Tunisia,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Jordan,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Andorra,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Armenia,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Dominican Republic,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Argentina,1,0,,,,,Fri Mar  6 15:12:58 PST 2020,1583536378
Liechtenstein,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Bhutan,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Gibraltar,1,0,1,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Serbia,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Vatican City,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Cameroon,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
Colombia,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
South Africa,1,0,,,,Source,Fri Mar  6 15:12:58 PST 2020,1583536378
TOTAL,101486,3456,6335,49,55648,,Fri Mar  6 15:12:58 PST 2020,1583536378
