OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
South Korea,6593,42,27,25,108,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Iran,4747,124,,,913,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Italy,4636,197,462,,523,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Germany,639,0,,2,17,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
France,613,9,23,,12,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Japan,350,6,29,,10,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Spain,296,3,7,,2,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
United States,272,14,2,6,9,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Switzerland,210,1,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
United Kingdom,164,1,,,12,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Sweden,136,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Singapore,130,0,,9,82,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Netherlands,128,1,1,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Belgium,109,0,1,,1,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Hong Kong,108,2,2,4,51,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Norway,101,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Malaysia,83,0,,,23,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Australia,61,2,,,22,,Fri Mar  6 13:16:28 PST 2020,1583529388
Kuwait,58,0,0,0,0,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Austria,55,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Bahrain,49,0,,,1,,Fri Mar  6 13:16:28 PST 2020,1583529388
Canada,48,0,,1,8,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Thailand,47,1,1,,31,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Taiwan,45,1,0,0,12,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Greece,45,0,1,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Iraq,35,2,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Iceland,34,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
India,30,0,,,3,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
UAE,27,0,2,,5,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Czech Republic,19,0,0,0,0,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Ireland,18,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Algeria,17,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Israel,17,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Vietnam,16,0,,,16,,Fri Mar  6 13:16:28 PST 2020,1583529388
San Marino,16,1,3,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Lebanon,16,0,,1,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Oman,16,0,,,2,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Denmark,15,0,,,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
Ecuador,13,0,,1,,Source,Fri Mar  6 13:16:28 PST 2020,1583529388
