OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80778,3158,4492,,61475,Wed Mar 11 10:58:41 PDT 2020,1583949521
Italy,10149,631,877,,1004,Wed Mar 11 10:58:41 PDT 2020,1583949521
Iran,9000,354,,,2959,Wed Mar 11 10:58:41 PDT 2020,1583949521
South Korea,7755,60,,36,288,Wed Mar 11 10:58:41 PDT 2020,1583949521
Spain,2124,49,126,,136,Wed Mar 11 10:58:41 PDT 2020,1583949521
France,1784,33,86,,12,Wed Mar 11 10:58:41 PDT 2020,1583949521
Germany,1622,3,,2,25,Wed Mar 11 10:58:41 PDT 2020,1583949521
United States,1016,31,2,6,9,Wed Mar 11 10:58:41 PDT 2020,1583949521
Diamond Princess,696,7,18,,245,Wed Mar 11 10:58:41 PDT 2020,1583949521
Switzerland,642,3,,,3,Wed Mar 11 10:58:41 PDT 2020,1583949521
Japan,581,10,31,,59,Wed Mar 11 10:58:41 PDT 2020,1583949521
Netherlands,503,5,1,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Sweden,436,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Norway,428,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
United Kingdom,383,6,,,12,Wed Mar 11 10:58:41 PDT 2020,1583949521
Denmark*,342,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Belgium,314,1,1,1,1,Wed Mar 11 10:58:41 PDT 2020,1583949521
Austria,206,0,,,4,Wed Mar 11 10:58:41 PDT 2020,1583949521
Bahrain,189,0,,1,30,Wed Mar 11 10:58:41 PDT 2020,1583949521
Singapore,166,0,,12,93,Wed Mar 11 10:58:41 PDT 2020,1583949521
Malaysia,149,0,2,,26,Wed Mar 11 10:58:41 PDT 2020,1583949521
Hong Kong,121,2,2,4,59,Wed Mar 11 10:58:41 PDT 2020,1583949521
Australia,127,3,,,24,Wed Mar 11 10:58:41 PDT 2020,1583949521
Canada,97,1,,1,9,Wed Mar 11 10:58:41 PDT 2020,1583949521
Greece,89,0,,1,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Iceland,85,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Israel,76,0,1,,3,Wed Mar 11 10:58:41 PDT 2020,1583949521
UAE,74,0,2,,17,Wed Mar 11 10:58:41 PDT 2020,1583949521
Kuwait,72,0,2,1,2,Wed Mar 11 10:58:41 PDT 2020,1583949521
Czech Republic,63,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
San Marino,62,2,5,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Lebanon,61,2,,3,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Iraq,60,5,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
India,60,0,,,4,Wed Mar 11 10:58:41 PDT 2020,1583949521
Egypt,60,1,,,27,Wed Mar 11 10:58:41 PDT 2020,1583949521
Thailand,59,1,1,,34,Wed Mar 11 10:58:41 PDT 2020,1583949521
Finland,59,0,,,1,Wed Mar 11 10:58:41 PDT 2020,1583949521
Portugal,59,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Philippines,49,1,1,,2,Wed Mar 11 10:58:41 PDT 2020,1583949521
Taiwan,48,1,0,0,17,Wed Mar 11 10:58:41 PDT 2020,1583949521
Vietnam,37,0,,,16,Wed Mar 11 10:58:41 PDT 2020,1583949521
Brazil,34,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Ireland,34,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Slovenia,31,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Indonesia,34,1,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Romania,32,0,,,6,Wed Mar 11 10:58:41 PDT 2020,1583949521
Palestine,30,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Poland,27,0,2,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Qatar,24,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Algeria,20,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Pakistan,19,0,,,2,Wed Mar 11 10:58:41 PDT 2020,1583949521
Chile,17,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Oman,16,0,,,2,Wed Mar 11 10:58:41 PDT 2020,1583949521
Russia,15,0,,,3,Wed Mar 11 10:58:41 PDT 2020,1583949521
Saudi Arabia,15,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Ecuador,15,0,,1,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Georgia,15,0,1,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
South Africa,13,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Argentina,12,1,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Croatia,12,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Serbia,12,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Albania,12,1,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Macau,10,0,,,6,Wed Mar 11 10:58:41 PDT 2020,1583949521
Estonia,10,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Costa Rica,9,0,1,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Hungary,9,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Colombia,9,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Panama,8,1,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Maldives,8,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Bosnia,7,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Mexico,7,0,1,,4,Wed Mar 11 10:58:41 PDT 2020,1583949521
Peru,7,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Afghanistan,7,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Luxembourg,7,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
North Macedonia,7,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Slovakia,7,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Tunisia,6,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Belarus,6,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Azerbaijan,6,0,,,3,Wed Mar 11 10:58:41 PDT 2020,1583949521
Latvia,6,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Bulgaria,6,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
New Zealand,5,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Dominican Republic,5,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Paraguay,5,0,1,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Malta,5,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Senegal,4,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Bangladesh,3,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Morocco,3,1,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Lithuania,3,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Cambodia,3,0,,,1,Wed Mar 11 10:58:41 PDT 2020,1583949521
Moldova,3,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Honduras,2,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Cameroon,2,0,,,,Wed Mar 11 10:58:41 PDT 2020,1583949521
Nigeria,2,0,0,0,0,Wed Mar 11 10:58:41 PDT 2020,1583949521
Sri Lanka,2,0,,,1,Wed Mar 11 10:58:41 PDT 2020,1583949521
