OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
South Korea,6593,42,27,25,108,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Iran,4747,124,,,913,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Italy,4636,197,462,,523,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Germany,639,0,,2,17,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
France,613,9,23,,12,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Japan,350,6,29,,10,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Spain,296,3,7,,2,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
United States,254,14,2,6,9,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Sweden,136,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Netherlands,128,1,1,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Singapore,117,0,,7,81,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
United Kingdom,116,1,,,12,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Belgium,109,0,1,,1,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Norway,101,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Switzerland,80,1,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Malaysia,83,0,,,23,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Australia,61,2,,,22,,Fri Mar  6 10:58:52 PST 2020,1583521132
Kuwait,58,0,0,0,0,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Bahrain,49,0,,,1,,Fri Mar  6 10:58:52 PST 2020,1583521132
Canada,48,0,,1,8,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Austria,47,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Thailand,47,1,1,,31,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Taiwan,45,1,0,0,12,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Iraq,35,2,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Iceland,34,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Greece,31,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
India,30,0,,,3,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
UAE,27,0,2,,5,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Algeria,17,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Israel,17,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Vietnam,16,0,,,16,,Fri Mar  6 10:58:52 PST 2020,1583521132
San Marino,16,1,3,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Lebanon,16,0,,1,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Oman,16,0,,,2,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Denmark,15,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Ecuador,13,0,,1,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Ireland,13,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Finland,12,0,,,1,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Macau,10,0,,,6,,Fri Mar  6 10:58:52 PST 2020,1583521132
Croatia,10,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Brazil,9,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Georgia,9,0,1,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Qatar,8,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Czech Republic,8,0,0,0,0,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Portugal,8,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Romania,7,0,,,1,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Belarus,6,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Azerbaijan,6,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Slovenia,6,0,,,0,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Mexico,5,0,,,1,,Fri Mar  6 10:58:52 PST 2020,1583521132
Estonia,5,0,0,0,0,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Saudi Arabia,5,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Pakistan,5,0,,,,,Fri Mar  6 10:58:52 PST 2020,1583521132
Philippines,5,1,1,,2,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Poland,5,0,0,0,0,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
Chile,5,0,,,,Source,Fri Mar  6 10:58:52 PST 2020,1583521132
