OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
South Korea,6593,42,27,25,108,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Iran,4747,124,,,913,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Italy,4636,197,462,,523,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Germany,639,0,,2,17,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
France,613,9,23,,12,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Japan,350,6,29,,10,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Spain,296,3,7,,2,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
United States,259,14,2,6,9,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Sweden,136,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Netherlands,128,1,1,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Singapore,117,0,,7,81,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
United Kingdom,116,1,,,12,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Belgium,109,0,1,,1,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Norway,101,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Switzerland,80,1,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Malaysia,83,0,,,23,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Australia,61,2,,,22,,Fri Mar  6 11:14:59 PST 2020,1583522099
Kuwait,58,0,0,0,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Austria,55,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Bahrain,49,0,,,1,,Fri Mar  6 11:14:59 PST 2020,1583522099
Canada,48,0,,1,8,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Thailand,47,1,1,,31,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Taiwan,45,1,0,0,12,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Iraq,35,2,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Iceland,34,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Greece,31,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
India,30,0,,,3,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
UAE,27,0,2,,5,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Algeria,17,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Israel,17,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Vietnam,16,0,,,16,,Fri Mar  6 11:14:59 PST 2020,1583522099
San Marino,16,1,3,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Lebanon,16,0,,1,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Oman,16,0,,,2,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Denmark,15,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Ecuador,13,0,,1,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Ireland,13,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Finland,12,0,,,1,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Macau,10,0,,,6,,Fri Mar  6 11:14:59 PST 2020,1583522099
Croatia,10,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Brazil,9,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Georgia,9,0,1,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Qatar,8,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Czech Republic,8,0,0,0,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Portugal,8,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Romania,7,0,,,1,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Belarus,6,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Azerbaijan,6,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Slovenia,6,0,,,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Mexico,5,0,,,1,,Fri Mar  6 11:14:59 PST 2020,1583522099
Estonia,5,0,0,0,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Saudi Arabia,5,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Pakistan,5,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Philippines,5,1,1,,2,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Poland,5,0,0,0,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Chile,5,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Senegal,4,0,0,0,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Palestine,4,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Russia,4,0,,,2,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
New Zealand,4,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Indonesia,4,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Egypt,3,0,,,1,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Hungary,2,0,0,0,0,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Morocco,2,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Bosnia,2,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Luxembourg,2,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Nepal,1,0,,,1,,Fri Mar  6 11:14:59 PST 2020,1583522099
Cambodia,1,0,,,1,,Fri Mar  6 11:14:59 PST 2020,1583522099
Sri Lanka,1,0,,,1,,Fri Mar  6 11:14:59 PST 2020,1583522099
Afghanistan,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
North Macedonia,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Nigeria,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Lithuania,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Monaco,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Ukraine,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Latvia,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Tunisia,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Jordan,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Andorra,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Armenia,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Dominican Republic,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Argentina,1,0,,,,,Fri Mar  6 11:14:59 PST 2020,1583522099
Liechtenstein,1,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Bhutan,1,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Gibraltar,1,0,1,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Serbia,1,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Vatican City,1,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
Cameroon,1,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
South Africa,1,0,,,,Source,Fri Mar  6 11:14:59 PST 2020,1583522099
TOTAL,101206,3456,6334,47,55630,,Fri Mar  6 11:14:59 PST 2020,1583522099
