OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
China,80813,3176,4020,,64111,Fri Mar 13 12:02:19 PDT 2020,1584126139
Italy,17660,1266,1328,,1439,Fri Mar 13 12:02:19 PDT 2020,1584126139
Iran,11364,514,,,3529,Fri Mar 13 12:02:19 PDT 2020,1584126139
South Korea,7979,67,,36,510,Fri Mar 13 12:02:19 PDT 2020,1584126139
Spain,4209,120,190,,189,Fri Mar 13 12:02:19 PDT 2020,1584126139
France,3661,79,154,,12,Fri Mar 13 12:02:19 PDT 2020,1584126139
Germany,3116,6,,2,46,Fri Mar 13 12:02:19 PDT 2020,1584126139
United States,1832,41,2,6,9,Fri Mar 13 12:02:19 PDT 2020,1584126139
Switzerland,854,7,,,4,Fri Mar 13 12:02:19 PDT 2020,1584126139
Norway,876,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Netherlands,804,5,1,,2,Fri Mar 13 12:02:19 PDT 2020,1584126139
Denmark,788,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Sweden,727,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Diamond Princess,697,7,14,,245,Fri Mar 13 12:02:19 PDT 2020,1584126139
Japan,690,19,29,,59,Fri Mar 13 12:02:19 PDT 2020,1584126139
United Kingdom,590,10,20,,12,Fri Mar 13 12:02:19 PDT 2020,1584126139
Austria,422,1,,,6,Fri Mar 13 12:02:19 PDT 2020,1584126139
Belgium,399,3,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Qatar,262,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Singapore,200,0,,11,97,Fri Mar 13 12:02:19 PDT 2020,1584126139
Bahrain,197,0,,1,35,Fri Mar 13 12:02:19 PDT 2020,1584126139
Malaysia,158,0,3,,32,Fri Mar 13 12:02:19 PDT 2020,1584126139
Australia,156,3,,,26,Fri Mar 13 12:02:19 PDT 2020,1584126139
Hong Kong,132,4,2,2,75,Fri Mar 13 12:02:19 PDT 2020,1584126139
Greece,117,1,2,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Iceland,117,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Czech Republic,116,0,2,0,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Canada,109,1,,1,11,Fri Mar 13 12:02:19 PDT 2020,1584126139
Israel,109,0,2,,3,Fri Mar 13 12:02:19 PDT 2020,1584126139
Finland,109,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Kuwait,100,0,4,,5,Fri Mar 13 12:02:19 PDT 2020,1584126139
Slovenia,96,0,0,0,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
UAE,85,0,,,20,Fri Mar 13 12:02:19 PDT 2020,1584126139
Iraq,83,8,,,15,Fri Mar 13 12:02:19 PDT 2020,1584126139
Egypt,80,2,,,27,Fri Mar 13 12:02:19 PDT 2020,1584126139
Portugal,78,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
San Marino,77,5,5,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Brazil,76,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Thailand,75,1,1,,35,Fri Mar 13 12:02:19 PDT 2020,1584126139
India,73,1,,,4,Fri Mar 13 12:02:19 PDT 2020,1584126139
Ireland,70,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Indonesia,69,4,,,5,Fri Mar 13 12:02:19 PDT 2020,1584126139
Lebanon,68,3,,2,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Romania,64,0,,,6,Fri Mar 13 12:02:19 PDT 2020,1584126139
Poland,64,1,2,0,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Saudi Arabia,62,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Philippines,52,5,1,,2,Fri Mar 13 12:02:19 PDT 2020,1584126139
Taiwan,50,1,0,0,20,Fri Mar 13 12:02:19 PDT 2020,1584126139
Vietnam,44,0,,,16,Fri Mar 13 12:02:19 PDT 2020,1584126139
Estonia,41,0,,,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Russia,34,0,,,3,Fri Mar 13 12:02:19 PDT 2020,1584126139
Chile,33,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Palestine,31,0,0,0,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Argentina,31,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Serbia,31,0,1,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Croatia,27,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Panama,27,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Luxembourg,26,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Georgia,25,0,1,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Algeria,24,1,,,10,Fri Mar 13 12:02:19 PDT 2020,1584126139
Costa Rica,23,0,1,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Albania,23,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Bulgaria,23,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Peru,22,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Pakistan,21,0,,,2,Fri Mar 13 12:02:19 PDT 2020,1584126139
Belarus,21,0,,,3,Fri Mar 13 12:02:19 PDT 2020,1584126139
Slovakia,21,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Oman,19,0,0,0,9,Fri Mar 13 12:02:19 PDT 2020,1584126139
Ecuador,19,0,,1,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Hungary,19,0,,,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Latvia,17,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
South Africa,16,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Cyprus,14,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Tunisia,13,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Mexico,12,0,1,,4,Fri Mar 13 12:02:19 PDT 2020,1584126139
Malta,12,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Azerbaijan,11,1,,,3,Fri Mar 13 12:02:19 PDT 2020,1584126139
Bosnia,11,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Macau,10,0,,,6,Fri Mar 13 12:02:19 PDT 2020,1584126139
Senegal,10,0,,,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Colombia,9,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Maldives,8,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Jamaica,8,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Afghanistan,7,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
North Macedonia,7,0,0,0,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Paraguay,6,0,1,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Morocco,6,1,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Moldova,6,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Cambodia,5,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Dominican Republic,5,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
New Zealand,5,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Liechtenstein,4,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Ukraine,3,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Bangladesh,3,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Lithuania,3,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Honduras,2,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Cameroon,2,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Nigeria,2,0,0,0,0,Fri Mar 13 12:02:19 PDT 2020,1584126139
Monaco,2,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Sri Lanka,2,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Turkey,2,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Togo,1,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Nepal,1,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Jordan,1,0,,,1,Fri Mar 13 12:02:19 PDT 2020,1584126139
Andorra,1,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Armenia,1,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Bhutan,1,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Gibraltar,1,0,1,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
Vatican City,1,0,,,,Fri Mar 13 12:02:19 PDT 2020,1584126139
