OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80735,3119,5111,,58600,Mon Mar  9 16:06:48 PDT 2020,1583795208
South Korea,7478,53,,36,166,Mon Mar  9 16:06:48 PDT 2020,1583795208
Italy,9172,463,733,,724,Mon Mar  9 16:06:48 PDT 2020,1583795208
Iran,7161,237,,,2394,Mon Mar  9 16:06:48 PDT 2020,1583795208
France,1412,30,66,,12,Mon Mar  9 16:06:48 PDT 2020,1583795208
Germany,1224,2,,2,18,Mon Mar  9 16:06:48 PDT 2020,1583795208
Spain,999,25,11,,32,Mon Mar  9 16:06:48 PDT 2020,1583795208
Diamond Princess,696,7,31,,245,Mon Mar  9 16:06:48 PDT 2020,1583795208
United States,551,22,2,6,9,Mon Mar  9 16:06:48 PDT 2020,1583795208
Japan,497,7,30,,59,Mon Mar  9 16:06:48 PDT 2020,1583795208
Switzerland,374,2,,,3,Mon Mar  9 16:06:48 PDT 2020,1583795208
United Kingdom,319,3,,,12,Mon Mar  9 16:06:48 PDT 2020,1583795208
Netherlands,265,3,1,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Belgium,239,0,1,,1,Mon Mar  9 16:06:48 PDT 2020,1583795208
Sweden,203,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Norway,176,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Singapore,150,0,,9,90,Mon Mar  9 16:06:48 PDT 2020,1583795208
Malaysia,117,0,2,,24,Mon Mar  9 16:06:48 PDT 2020,1583795208
Hong Kong,115,2,2,4,59,Mon Mar  9 16:06:48 PDT 2020,1583795208
Austria,112,0,,,2,Mon Mar  9 16:06:48 PDT 2020,1583795208
Bahrain,109,0,,,14,Mon Mar  9 16:06:48 PDT 2020,1583795208
Australia,91,3,,,22,Mon Mar  9 16:06:48 PDT 2020,1583795208
Greece,73,0,1,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Kuwait,64,0,2,1,0,Mon Mar  9 16:06:48 PDT 2020,1583795208
Canada,67,0,,1,8,Mon Mar  9 16:06:48 PDT 2020,1583795208
Iraq,60,5,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
UAE,59,0,2,,7,Mon Mar  9 16:06:48 PDT 2020,1583795208
Iceland,58,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Egypt,55,1,,,1,Mon Mar  9 16:06:48 PDT 2020,1583795208
Thailand,50,1,1,,31,Mon Mar  9 16:06:48 PDT 2020,1583795208
Taiwan,45,1,0,0,15,Mon Mar  9 16:06:48 PDT 2020,1583795208
India,43,0,,,4,Mon Mar  9 16:06:48 PDT 2020,1583795208
Israel,39,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Denmark*,37,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
San Marino,36,1,5,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Lebanon,32,0,,1,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Czech Republic,31,0,0,0,0,Mon Mar  9 16:06:48 PDT 2020,1583795208
Vietnam,31,0,,,16,Mon Mar  9 16:06:48 PDT 2020,1583795208
Portugal,30,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Finland,30,0,,,1,Mon Mar  9 16:06:48 PDT 2020,1583795208
Brazil,25,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Ireland,21,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Algeria,20,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Philippines,20,1,1,,2,Mon Mar  9 16:06:48 PDT 2020,1583795208
Indonesia,19,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Qatar,18,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Oman,16,0,,,2,Mon Mar  9 16:06:48 PDT 2020,1583795208
Poland,16,0,2,0,0,Mon Mar  9 16:06:48 PDT 2020,1583795208
Slovenia,16,0,0,0,0,Mon Mar  9 16:06:48 PDT 2020,1583795208
Russia,15,0,,,3,Mon Mar  9 16:06:48 PDT 2020,1583795208
Saudi Arabia,15,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Ecuador,15,0,,1,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Georgia,15,0,1,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Romania,14,0,,,4,Mon Mar  9 16:06:48 PDT 2020,1583795208
Argentina,12,1,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Croatia,12,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Macau,10,0,,,6,Mon Mar  9 16:06:48 PDT 2020,1583795208
Chile,10,0,,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
Estonia,10,0,0,0,0,Mon Mar  9 16:06:48 PDT 2020,1583795208
Costa Rica,9,0,1,,,Mon Mar  9 16:06:48 PDT 2020,1583795208
