OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
South Korea,6593,42,27,25,108,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Iran,4747,124,,,913,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Italy,4636,197,462,,523,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Germany,639,0,,2,17,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
France,613,9,23,,12,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Japan,350,6,29,,10,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Spain,296,3,7,,2,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
United States,256,14,2,6,9,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Sweden,136,0,,,,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Netherlands,128,1,1,,,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Singapore,117,0,,7,81,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
United Kingdom,116,1,,,12,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Belgium,109,0,1,,1,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Norway,101,0,,,,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Switzerland,80,1,,,,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Malaysia,83,0,,,23,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Australia,61,2,,,22,,Fri Mar  6 11:10:54 PST 2020,1583521854
Kuwait,58,0,0,0,0,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
Bahrain,49,0,,,1,,Fri Mar  6 11:10:54 PST 2020,1583521854
Canada,48,0,,1,8,Source,Fri Mar  6 11:10:54 PST 2020,1583521854
