china,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Mainland China,80555,3042,5737,,53726,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,South Korea,6593,42,27,25,108,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Iran,4747,124,,,913,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Italy,4636,197,462,,523,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Diamond Princess,696,6,34,,40,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Germany,639,0,,2,17,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,France,423,7,23,,12,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Japan,350,6,29,,10,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Spain,296,3,7,,2,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,United States,253,14,2,6,9,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Sweden,136,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Netherlands,128,1,1,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Singapore,117,0,,7,81,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,United Kingdom,116,1,,,12,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Belgium,109,0,1,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Hong Kong,105,2,2,4,36,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Norway,101,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Switzerland,80,1,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Malaysia,83,0,,,23,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Australia,61,2,,,22,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Kuwait,58,0,0,0,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Bahrain,49,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Canada,48,0,,1,8,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Austria,47,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Thailand,47,1,1,,31,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Taiwan,45,1,0,0,12,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Iraq,35,2,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Iceland,34,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Greece,31,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,India,30,0,,,3,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,UAE,27,0,2,,5,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Algeria,17,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Israel,17,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Vietnam,16,0,,,16,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,San Marino,16,1,3,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Lebanon,16,0,,1,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Oman,16,0,,,2,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Denmark,15,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Ecuador,13,0,,1,,Fri Mar  6 10:51:47 PST 2020,1583520707
