COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Fri Mar  6 11:11:19 PST 2020,1583521879
LOS ANGELES,9818605,11,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SANTA CLARA,1781642,20,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SAN FRANCISCO,805235,5,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SAN DIEGO,3095313,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
MARIN,252409,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SONOMA,483878,2,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SOLANO,413344,13,0,Fri Mar  6 11:11:19 PST 2020,1583521879
NAPA,136484,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
HUMBOLDT,134623,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SACRAMENTO,1418788,2,0,Fri Mar  6 11:11:19 PST 2020,1583521879
ALAMEDA,1510271,2,0,Fri Mar  6 11:11:19 PST 2020,1583521879
PLACER,348432,2,1,Fri Mar  6 11:11:19 PST 2020,1583521879
SAN MATEO,718451,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
CONTRA COSTA,1049025,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
KINGS,2504700,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
SANTA ROSA,151372,1,0,Fri Mar  6 11:11:19 PST 2020,1583521879
