COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,5,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
LOS ANGELES,9818605,20,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
SANTA CLARA,1781642,45,1,Tue Mar 10 21:41:14 PDT 2020,1583901674
SAN FRANCISCO,805235,17,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
SAN DIEGO,3095313,2,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
MARIN,252409,2,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
SONOMA,483878,2,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
SACRAMENTO,1418788,9,1,Tue Mar 10 21:41:14 PDT 2020,1583901674
SOLANO,413344,12,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
NAPA,136484,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
HUMBOLDT,134623,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
ALAMEDA,1510271,25,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
PLACER,348432,7,1,Tue Mar 10 21:41:14 PDT 2020,1583901674
SAN MATEO,718451,9,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
CONTRA COSTA,1049025,9,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
KINGS,2504700,4,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
YOLO,200849,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
MADERA,150865,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
SANTA CRUZ,262382,2,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
FRESNO,930450,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
RIVERSIDE,2189641,4,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
SHASTA,177223,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
VENTURA,823318,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
CHARLES MIX,9129,1,0,Tue Mar 10 21:41:14 PDT 2020,1583901674
