COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,6,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
LOS ANGELES,9818605,40,1,Fri Mar 13 17:46:01 PDT 2020,1584146761
SANTA CLARA,1781642,66,1,Fri Mar 13 17:46:01 PDT 2020,1584146761
SAN FRANCISCO,805235,21,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
SAN DIEGO,3095313,5,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
MARIN,252409,4,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
SONOMA,483878,2,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
SACRAMENTO,1418788,16,1,Fri Mar 13 17:46:01 PDT 2020,1584146761
SOLANO,413344,12,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
NAPA,136484,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
HUMBOLDT,134623,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
ALAMEDA,1510271,29,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
PLACER,348432,8,1,Fri Mar 13 17:46:01 PDT 2020,1584146761
SAN MATEO,718451,20,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
CONTRA COSTA,1049025,25,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
YOLO,200849,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
MADERA,150865,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
SANTA CRUZ,262382,2,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
FRESNO,930450,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
RIVERSIDE,2189641,6,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
SHASTA,177223,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
VENTURA,823318,2,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
LAKE,703462,2,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
STANISLAUS,514453,2,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
ORANGE,372813,3,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
TULARE,442179,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
DUVAL,864263,1,0,Fri Mar 13 17:46:01 PDT 2020,1584146761
