COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
LOS ANGELES,9818605,14,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SANTA CLARA,1781642,37,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SAN FRANCISCO,805235,11,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SAN DIEGO,3095313,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
MARIN,252409,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SONOMA,483878,2,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SACRAMENTO,1418788,3,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SOLANO,413344,12,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
NAPA,136484,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
HUMBOLDT,134623,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
ALAMEDA,1510271,3,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
PLACER,348432,7,1,Mon Mar  9 08:50:07 PDT 2020,1583769007
SAN MATEO,718451,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
CONTRA COSTA,1049025,9,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
KINGS,2504700,4,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
YOLO,200849,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
MADERA,150865,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
SANTA CRUZ,262382,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
FRESNO,930450,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
RIVERSIDE,2189641,1,0,Mon Mar  9 08:50:07 PDT 2020,1583769007
