COUNTY,POPULATION_2010,ACTIVE,CONFIRMED,date2,unixtime
ORANGE,3010232,TRUE,6,Fri Mar 13 17:43:37 PDT 2020,1584146617
LOS ANGELES,9818605,TRUE,40,Fri Mar 13 17:43:37 PDT 2020,1584146617
SANTA CLARA,1781642,TRUE,66,Fri Mar 13 17:43:37 PDT 2020,1584146617
SAN FRANCISCO,805235,TRUE,21,Fri Mar 13 17:43:37 PDT 2020,1584146617
SAN DIEGO,3095313,TRUE,5,Fri Mar 13 17:43:37 PDT 2020,1584146617
MARIN,252409,TRUE,4,Fri Mar 13 17:43:37 PDT 2020,1584146617
SONOMA,483878,TRUE,2,Fri Mar 13 17:43:37 PDT 2020,1584146617
SACRAMENTO,1418788,TRUE,16,Fri Mar 13 17:43:37 PDT 2020,1584146617
SOLANO,413344,TRUE,12,Fri Mar 13 17:43:37 PDT 2020,1584146617
NAPA,136484,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
HUMBOLDT,134623,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
ALAMEDA,1510271,TRUE,29,Fri Mar 13 17:43:37 PDT 2020,1584146617
PLACER,348432,TRUE,8,Fri Mar 13 17:43:37 PDT 2020,1584146617
SAN MATEO,718451,TRUE,20,Fri Mar 13 17:43:37 PDT 2020,1584146617
CONTRA COSTA,1049025,TRUE,25,Fri Mar 13 17:43:37 PDT 2020,1584146617
YOLO,200849,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
MADERA,150865,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
SANTA CRUZ,262382,TRUE,2,Fri Mar 13 17:43:37 PDT 2020,1584146617
FRESNO,930450,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
RIVERSIDE,2189641,TRUE,6,Fri Mar 13 17:43:37 PDT 2020,1584146617
SHASTA,177223,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
VENTURA,823318,TRUE,2,Fri Mar 13 17:43:37 PDT 2020,1584146617
LAKE,703462,TRUE,2,Fri Mar 13 17:43:37 PDT 2020,1584146617
STANISLAUS,514453,TRUE,2,Fri Mar 13 17:43:37 PDT 2020,1584146617
ORANGE,372813,TRUE,3,Fri Mar 13 17:43:37 PDT 2020,1584146617
TULARE,442179,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
DUVAL,864263,TRUE,1,Fri Mar 13 17:43:37 PDT 2020,1584146617
