COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
LOS ANGELES,9818605,16,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
SANTA CLARA,1781642,37,1,Mon Mar  9 16:07:02 PDT 2020,1583795222
SAN FRANCISCO,805235,11,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
SAN DIEGO,3095313,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
MARIN,252409,2,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
SONOMA,483878,2,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
SACRAMENTO,1418788,3,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
SOLANO,413344,12,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
NAPA,136484,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
HUMBOLDT,134623,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
ALAMEDA,1510271,24,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
PLACER,348432,7,1,Mon Mar  9 16:07:02 PDT 2020,1583795222
SAN MATEO,718451,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
CONTRA COSTA,1049025,9,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
KINGS,2504700,4,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
YOLO,200849,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
MADERA,150865,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
SANTA CRUZ,262382,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
FRESNO,930450,1,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
RIVERSIDE,2189641,4,0,Mon Mar  9 16:07:02 PDT 2020,1583795222
