COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Fri Mar  6 16:37:17 PST 2020,1583541437
LOS ANGELES,9818605,13,0,Fri Mar  6 16:37:17 PST 2020,1583541437
SANTA CLARA,1781642,24,0,Fri Mar  6 16:37:17 PST 2020,1583541437
SAN FRANCISCO,805235,5,0,Fri Mar  6 16:37:17 PST 2020,1583541437
SAN DIEGO,3095313,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
MARIN,252409,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
SONOMA,483878,2,0,Fri Mar  6 16:37:17 PST 2020,1583541437
SOLANO,413344,13,0,Fri Mar  6 16:37:17 PST 2020,1583541437
NAPA,136484,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
HUMBOLDT,134623,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
SACRAMENTO,1418788,2,0,Fri Mar  6 16:37:17 PST 2020,1583541437
ALAMEDA,1510271,2,0,Fri Mar  6 16:37:17 PST 2020,1583541437
MANATEE,322833,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
PLACER,348432,5,1,Fri Mar  6 16:37:17 PST 2020,1583541437
SAN MATEO,718451,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
CONTRA COSTA,1049025,4,0,Fri Mar  6 16:37:17 PST 2020,1583541437
KINGS,2504700,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
YOLO,200849,1,0,Fri Mar  6 16:37:17 PST 2020,1583541437
