COUNTY,POPULATION_2010,CONFIRMED,DEATHS,ICU BED COUNT,date2,unixtime
ORANGE,3010232,6,0,622,Fri Mar 13 17:47:13 PDT 2020,1584146833
LOS ANGELES,9818605,40,1,2192,Fri Mar 13 17:47:13 PDT 2020,1584146833
SANTA CLARA,1781642,66,1,438,Fri Mar 13 17:47:13 PDT 2020,1584146833
SAN FRANCISCO,805235,21,0,334,Fri Mar 13 17:47:13 PDT 2020,1584146833
SAN DIEGO,3095313,5,0,598,Fri Mar 13 17:47:13 PDT 2020,1584146833
MARIN,252409,4,0,30,Fri Mar 13 17:47:13 PDT 2020,1584146833
SONOMA,483878,2,0,72,Fri Mar 13 17:47:13 PDT 2020,1584146833
SACRAMENTO,1418788,16,1,376,Fri Mar 13 17:47:13 PDT 2020,1584146833
SOLANO,413344,12,0,82,Fri Mar 13 17:47:13 PDT 2020,1584146833
NAPA,136484,1,0,48,Fri Mar 13 17:47:13 PDT 2020,1584146833
HUMBOLDT,134623,1,0,26,Fri Mar 13 17:47:13 PDT 2020,1584146833
ALAMEDA,1510271,29,0,291,Fri Mar 13 17:47:13 PDT 2020,1584146833
PLACER,348432,8,1,58,Fri Mar 13 17:47:13 PDT 2020,1584146833
SAN MATEO,718451,20,0,96,Fri Mar 13 17:47:13 PDT 2020,1584146833
CONTRA COSTA,1049025,25,0,169,Fri Mar 13 17:47:13 PDT 2020,1584146833
YOLO,200849,1,0,14,Fri Mar 13 17:47:13 PDT 2020,1584146833
MADERA,150865,1,0,52,Fri Mar 13 17:47:13 PDT 2020,1584146833
SANTA CRUZ,262382,2,0,13,Fri Mar 13 17:47:13 PDT 2020,1584146833
FRESNO,930450,1,0,149,Fri Mar 13 17:47:13 PDT 2020,1584146833
RIVERSIDE,2189641,6,0,378,Fri Mar 13 17:47:13 PDT 2020,1584146833
SHASTA,177223,1,0,70,Fri Mar 13 17:47:13 PDT 2020,1584146833
VENTURA,823318,2,0,131,Fri Mar 13 17:47:13 PDT 2020,1584146833
LAKE,703462,2,0,8,Fri Mar 13 17:47:13 PDT 2020,1584146833
STANISLAUS,514453,2,0,92,Fri Mar 13 17:47:13 PDT 2020,1584146833
ORANGE,372813,3,0,622,Fri Mar 13 17:47:13 PDT 2020,1584146833
TULARE,442179,1,0,65,Fri Mar 13 17:47:13 PDT 2020,1584146833
DUVAL,864263,1,0,80,Fri Mar 13 17:47:13 PDT 2020,1584146833
