COUNTY,POPULATION_2010,CONFIRMED,CONFIRMED_2,date2,unixtime
ORANGE,3010232,6,6,Thu Mar 12 22:25:17 PDT 2020,1584077117
LOS ANGELES,9818605,32,32,Thu Mar 12 22:25:17 PDT 2020,1584077117
SANTA CLARA,1781642,66,66,Thu Mar 12 22:25:17 PDT 2020,1584077117
SAN FRANCISCO,805235,21,21,Thu Mar 12 22:25:17 PDT 2020,1584077117
SAN DIEGO,3095313,5,5,Thu Mar 12 22:25:17 PDT 2020,1584077117
MARIN,252409,4,4,Thu Mar 12 22:25:17 PDT 2020,1584077117
SONOMA,483878,2,2,Thu Mar 12 22:25:17 PDT 2020,1584077117
SACRAMENTO,1418788,16,16,Thu Mar 12 22:25:17 PDT 2020,1584077117
SOLANO,413344,12,12,Thu Mar 12 22:25:17 PDT 2020,1584077117
NAPA,136484,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
HUMBOLDT,134623,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
ALAMEDA,1510271,29,29,Thu Mar 12 22:25:17 PDT 2020,1584077117
PLACER,348432,8,8,Thu Mar 12 22:25:17 PDT 2020,1584077117
SAN MATEO,718451,20,20,Thu Mar 12 22:25:17 PDT 2020,1584077117
CONTRA COSTA,1049025,9,9,Thu Mar 12 22:25:17 PDT 2020,1584077117
YOLO,200849,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
MADERA,150865,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
SANTA CRUZ,262382,2,2,Thu Mar 12 22:25:17 PDT 2020,1584077117
FRESNO,930450,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
RIVERSIDE,2189641,6,6,Thu Mar 12 22:25:17 PDT 2020,1584077117
SHASTA,177223,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
VENTURA,823318,2,2,Thu Mar 12 22:25:17 PDT 2020,1584077117
LAKE,703462,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
STANISLAUS,514453,2,2,Thu Mar 12 22:25:17 PDT 2020,1584077117
ORANGE,372813,2,2,Thu Mar 12 22:25:17 PDT 2020,1584077117
TULARE,442179,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
DUVAL,864263,1,1,Thu Mar 12 22:25:17 PDT 2020,1584077117
