COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
LOS ANGELES,9818605,16,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
SANTA CLARA,1781642,37,1,Mon Mar  9 18:54:13 PDT 2020,1583805253
SAN FRANCISCO,805235,11,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
SAN DIEGO,3095313,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
MARIN,252409,2,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
SONOMA,483878,2,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
SACRAMENTO,1418788,3,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
SOLANO,413344,12,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
NAPA,136484,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
HUMBOLDT,134623,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
ALAMEDA,1510271,24,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
PLACER,348432,7,1,Mon Mar  9 18:54:13 PDT 2020,1583805253
SAN MATEO,718451,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
CONTRA COSTA,1049025,9,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
KINGS,2504700,4,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
YOLO,200849,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
MADERA,150865,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
SANTA CRUZ,262382,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
FRESNO,930450,1,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
RIVERSIDE,2189641,4,0,Mon Mar  9 18:54:13 PDT 2020,1583805253
