COUNTY,POPULATION_2010,CONFIRMED,DEATHS,ICU BED COUNT,date2,unixtime
ORANGE,3010232,17,0,622,Mon Mar 16 08:41:30 PDT 2020,1584373290
LOS ANGELES,9818605,69,1,2192,Mon Mar 16 08:41:30 PDT 2020,1584373290
SANTA CLARA,1781642,114,2,438,Mon Mar 16 08:41:30 PDT 2020,1584373290
SAN FRANCISCO,805235,37,0,334,Mon Mar 16 08:41:30 PDT 2020,1584373290
SAN DIEGO,3095313,40,0,598,Mon Mar 16 08:41:30 PDT 2020,1584373290
MARIN,252409,4,0,30,Mon Mar 16 08:41:30 PDT 2020,1584373290
SONOMA,483878,4,0,72,Mon Mar 16 08:41:30 PDT 2020,1584373290
SACRAMENTO,1418788,32,1,376,Mon Mar 16 08:41:30 PDT 2020,1584373290
SOLANO,413344,13,0,82,Mon Mar 16 08:41:30 PDT 2020,1584373290
NAPA,136484,1,0,48,Mon Mar 16 08:41:30 PDT 2020,1584373290
HUMBOLDT,134623,1,0,26,Mon Mar 16 08:41:30 PDT 2020,1584373290
ALAMEDA,1510271,37,0,291,Mon Mar 16 08:41:30 PDT 2020,1584373290
PLACER,348432,8,1,58,Mon Mar 16 08:41:30 PDT 2020,1584373290
SAN MATEO,718451,32,0,96,Mon Mar 16 08:41:30 PDT 2020,1584373290
CONTRA COSTA,1049025,25,0,169,Mon Mar 16 08:41:30 PDT 2020,1584373290
YOLO,200849,2,0,14,Mon Mar 16 08:41:30 PDT 2020,1584373290
MADERA,150865,1,0,52,Mon Mar 16 08:41:30 PDT 2020,1584373290
SANTA CRUZ,262382,2,0,13,Mon Mar 16 08:41:30 PDT 2020,1584373290
FRESNO,930450,2,0,149,Mon Mar 16 08:41:30 PDT 2020,1584373290
RIVERSIDE,2189641,12,0,378,Mon Mar 16 08:41:30 PDT 2020,1584373290
SHASTA,177223,1,0,70,Mon Mar 16 08:41:30 PDT 2020,1584373290
VENTURA,823318,5,0,131,Mon Mar 16 08:41:30 PDT 2020,1584373290
LAKE,703462,3,0,8,Mon Mar 16 08:41:30 PDT 2020,1584373290
STANISLAUS,514453,2,0,92,Mon Mar 16 08:41:30 PDT 2020,1584373290
ORANGE,372813,6,0,622,Mon Mar 16 08:41:30 PDT 2020,1584373290
TULARE,442179,3,0,65,Mon Mar 16 08:41:30 PDT 2020,1584373290
ORANGE,1145956,3,1,622,Mon Mar 16 08:41:30 PDT 2020,1584373290
SAN LUIS OBISPO,269637,2,0,48,Mon Mar 16 08:41:30 PDT 2020,1584373290
WHITESIDE,58498,1,0,80,Mon Mar 16 08:41:30 PDT 2020,1584373290
SAN BERNARDINO,2035210,1,0,496,Mon Mar 16 08:41:30 PDT 2020,1584373290
