COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Fri Mar  6 15:13:21 PST 2020,1583536401
LOS ANGELES,9818605,13,0,Fri Mar  6 15:13:21 PST 2020,1583536401
SANTA CLARA,1781642,20,0,Fri Mar  6 15:13:21 PST 2020,1583536401
SAN FRANCISCO,805235,5,0,Fri Mar  6 15:13:21 PST 2020,1583536401
SAN DIEGO,3095313,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
MARIN,252409,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
SONOMA,483878,2,0,Fri Mar  6 15:13:21 PST 2020,1583536401
SOLANO,413344,13,0,Fri Mar  6 15:13:21 PST 2020,1583536401
NAPA,136484,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
HUMBOLDT,134623,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
SACRAMENTO,1418788,2,0,Fri Mar  6 15:13:21 PST 2020,1583536401
ALAMEDA,1510271,2,0,Fri Mar  6 15:13:21 PST 2020,1583536401
MANATEE,322833,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
PLACER,348432,5,1,Fri Mar  6 15:13:21 PST 2020,1583536401
SAN MATEO,718451,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
CONTRA COSTA,1049025,4,0,Fri Mar  6 15:13:21 PST 2020,1583536401
KINGS,2504700,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
YOLO,200849,1,0,Fri Mar  6 15:13:21 PST 2020,1583536401
