COUNTY,POPULATION_2010,CONFIRMED,CONFIRMED_2,date2,unixtime
ORANGE,3010232,6,6,Thu Mar 12 22:23:16 PDT 2020,1584076996
LOS ANGELES,9818605,32,32,Thu Mar 12 22:23:16 PDT 2020,1584076996
SANTA CLARA,1781642,66,66,Thu Mar 12 22:23:16 PDT 2020,1584076996
SAN FRANCISCO,805235,21,21,Thu Mar 12 22:23:16 PDT 2020,1584076996
SAN DIEGO,3095313,5,5,Thu Mar 12 22:23:16 PDT 2020,1584076996
MARIN,252409,4,4,Thu Mar 12 22:23:16 PDT 2020,1584076996
SONOMA,483878,2,2,Thu Mar 12 22:23:16 PDT 2020,1584076996
SACRAMENTO,1418788,16,16,Thu Mar 12 22:23:16 PDT 2020,1584076996
SOLANO,413344,12,12,Thu Mar 12 22:23:16 PDT 2020,1584076996
NAPA,136484,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
HUMBOLDT,134623,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
ALAMEDA,1510271,29,29,Thu Mar 12 22:23:16 PDT 2020,1584076996
PLACER,348432,8,8,Thu Mar 12 22:23:16 PDT 2020,1584076996
SAN MATEO,718451,20,20,Thu Mar 12 22:23:16 PDT 2020,1584076996
CONTRA COSTA,1049025,9,9,Thu Mar 12 22:23:16 PDT 2020,1584076996
YOLO,200849,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
MADERA,150865,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
SANTA CRUZ,262382,2,2,Thu Mar 12 22:23:16 PDT 2020,1584076996
FRESNO,930450,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
RIVERSIDE,2189641,6,6,Thu Mar 12 22:23:16 PDT 2020,1584076996
SHASTA,177223,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
VENTURA,823318,2,2,Thu Mar 12 22:23:16 PDT 2020,1584076996
LAKE,703462,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
STANISLAUS,514453,2,2,Thu Mar 12 22:23:16 PDT 2020,1584076996
ORANGE,372813,2,2,Thu Mar 12 22:23:16 PDT 2020,1584076996
TULARE,442179,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
DUVAL,864263,1,1,Thu Mar 12 22:23:16 PDT 2020,1584076996
