COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Fri Mar  6 10:47:09 PST 2020,1583520429
LOS ANGELES,9818605,11,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SANTA CLARA,1781642,20,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SAN FRANCISCO,805235,5,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SAN DIEGO,3095313,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
MARIN,252409,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SONOMA,483878,2,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SOLANO,413344,13,0,Fri Mar  6 10:47:09 PST 2020,1583520429
NAPA,136484,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
HUMBOLDT,134623,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SACRAMENTO,1418788,2,0,Fri Mar  6 10:47:09 PST 2020,1583520429
ALAMEDA,1510271,2,0,Fri Mar  6 10:47:09 PST 2020,1583520429
PLACER,348432,2,1,Fri Mar  6 10:47:09 PST 2020,1583520429
SAN MATEO,718451,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
CONTRA COSTA,1049025,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
KINGS,2504700,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
SANTA ROSA,151372,1,0,Fri Mar  6 10:47:09 PST 2020,1583520429
