COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Thu Mar  5 16:50:13 PST 2020,1583455813
LOS ANGELES,9818605,7,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SANTA CLARA,1781642,14,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SAN FRANCISCO,805235,3,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SAN DIEGO,3095313,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
MARIN,252409,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SONOMA,483878,2,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SOLANO,413344,13,0,Thu Mar  5 16:50:13 PST 2020,1583455813
NAPA,136484,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
HUMBOLDT,134623,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SACRAMENTO,1418788,2,0,Thu Mar  5 16:50:13 PST 2020,1583455813
ALAMEDA,1510271,2,0,Thu Mar  5 16:50:13 PST 2020,1583455813
WALLA WALLA,58781,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
PLACER,348432,2,1,Thu Mar  5 16:50:13 PST 2020,1583455813
SAN MATEO,718451,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
CONTRA COSTA,1049025,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
